date,open,close
2016-07-29,5.4000,4.9950
2016-08-01,5.2500,5.3000
2016-08-02,5.2500,5.1000
2016-08-03,5.1000,4.9000
2016-08-04,4.8900,4.6300
2016-08-05,4.9900,4.6999
2016-08-08,4.8100,4.9600
2016-08-09,5.2200,5.2000
2016-08-10,5.2500,5.0000
2016-08-11,5.1800,5.0400
2016-08-12,4.8290,5.1900
2016-08-15,5.0000,4.9900
2016-08-16,4.9300,4.8900
2016-08-17,4.7300,4.8100
2016-08-18,4.7300,4.3900
2016-08-19,4.3000,4.5900
2016-08-22,4.5800,4.6400
2016-08-23,4.9400,4.7900
2016-08-24,4.9000,4.7600
2016-08-25,4.6918,4.7400
2016-08-26,4.6400,4.8200
2016-08-29,4.7100,4.7700
2016-08-30,4.7299,4.7100
2016-08-31,4.6100,4.4700
2016-09-01,4.4200,4.4000
2016-09-02,4.4000,4.4300
2016-09-06,4.6700,4.5900
2016-09-07,4.5500,4.6300
2016-09-08,4.6400,4.6300
2016-09-09,4.5500,4.4340
2016-09-12,4.5100,4.6100
2016-09-13,4.6500,4.6100
2016-09-14,4.6100,4.5300
2016-09-15,4.5300,4.4600
2016-09-16,4.4900,4.5199
2016-09-19,4.7000,4.7600
2016-09-20,4.6600,4.6500
2016-09-21,4.5600,4.5000
2016-09-22,4.5000,4.4900
2016-09-23,4.4500,4.5300
2016-09-26,4.4900,4.4400
2016-09-27,4.4200,4.4800
2016-09-28,4.5000,4.6400
2016-09-29,4.5800,4.5400
2016-09-30,4.7000,4.6000
2016-10-03,4.6079,4.5850
2016-10-04,4.6000,4.6300
2016-10-05,4.5500,4.5700
2016-10-06,4.5500,4.5400
2016-10-07,4.5800,4.6100
2016-10-10,4.5000,4.4000
2016-10-11,4.3000,4.4100
2016-10-12,4.4200,4.4000
2016-10-13,4.3500,4.3200
2016-10-14,4.2500,4.2200
2016-10-17,4.2100,4.1900
2016-10-18,4.1200,4.2300
2016-10-19,4.0500,4.0999
2016-10-20,3.9600,3.8500
2016-10-21,3.8500,3.8620
2016-10-24,3.8401,4.0400
2016-10-25,4.1600,4.1600
2016-10-26,4.1600,4.2800
2016-10-27,4.1800,4.0600
2016-10-28,4.0261,4.3000
2016-10-31,4.2300,4.1910
2016-11-01,4.1300,4.1500
2016-11-02,4.0600,4.1100
2016-11-03,4.1000,4.1000
2016-11-04,4.0900,4.1000
2016-11-07,3.8400,3.9500
2016-11-08,3.8600,3.7600
2016-11-09,3.8200,3.5600
2016-11-10,3.6200,3.8000
2016-11-11,3.7800,3.7300
2016-11-14,3.7400,3.6500
2016-11-15,3.5564,3.5520
2016-11-16,3.5520,3.5520
2016-11-17,3.5000,3.4599
2016-11-18,3.5600,3.5600
2016-11-21,3.3800,3.4399
2016-11-22,3.3899,3.3899
2016-11-23,3.3899,3.3899
2016-11-25,3.3810,3.3810
2016-11-28,3.3700,3.3300
2016-11-29,3.4300,3.2881
2016-11-30,3.2000,3.2000
2016-12-01,2.9300,2.8457
2016-12-02,2.7500,2.9499
2016-12-05,2.9300,2.8200
2016-12-06,2.8200,2.7300
2016-12-07,2.7001,2.6700
2016-12-08,2.7201,2.8000
2016-12-09,2.8000,2.8000
2016-12-12,2.8000,2.8000
2016-12-13,2.8000,2.8000
2016-12-14,2.8000,2.8000
2016-12-15,2.8000,2.8000
2016-12-16,2.8000,2.8000
2016-12-19,2.6200,2.7300
2016-12-20,2.7300,2.7300
2016-12-21,2.4600,2.6600
2016-12-22,2.6600,2.6600
2016-12-23,2.3000,2.6926
2016-12-27,2.9700,2.8000
2016-12-28,2.9500,3.0800
2016-12-29,2.9000,3.0400
2016-12-30,3.0900,3.0900
2017-01-03,3.1900,3.0676
