date,open,close
2014-09-03,4.0000,4.0000
2014-09-04,4.0000,3.7300
2014-09-05,3.7300,3.7300
2014-09-08,3.7300,3.7300
2014-09-09,3.7300,3.7300
2014-09-10,3.6800,3.8400
2014-09-11,4.2400,3.5500
2014-09-12,3.5500,3.6000
2014-09-15,3.6000,3.6000
2014-09-16,3.5000,3.5000
2014-09-17,3.4200,3.4000
2014-09-18,3.4100,3.4000
2014-09-19,3.2400,3.5000
2014-09-22,3.5000,3.5000
2014-09-23,3.4500,3.4500
2014-09-24,3.4500,3.4500
2014-09-25,3.3000,3.3000
2014-09-26,3.4000,3.4000
2014-09-30,3.2000,3.2000
2014-10-01,3.2000,3.2000
2014-10-03,3.3200,3.3300
2014-10-07,3.1100,3.1100
2014-10-09,3.1100,3.1100
2014-10-14,2.9400,2.8900
2014-10-15,2.3500,2.9400
2014-10-16,3.5200,3.5200
2014-10-17,3.2900,3.3400
2014-10-20,3.3200,3.3400
2014-10-21,3.4000,3.0500
2014-10-22,3.1000,3.1000
2014-10-23,3.2500,3.0700
2014-10-24,3.0700,2.9200
2014-10-27,3.4300,3.4000
2014-10-28,3.1600,3.5000
2014-10-29,3.6000,4.0000
2014-10-30,3.9650,3.6250
2014-10-31,2.9100,3.6000
2014-11-03,3.5000,3.7900
2014-11-04,3.6000,3.6000
2014-11-05,3.8100,3.8000
2014-11-06,3.4700,3.6700
2014-11-07,3.6700,3.6700
2014-11-10,3.5800,3.5000
2014-11-11,3.4100,3.6000
2014-11-12,3.7000,3.5000
2014-11-13,3.5100,3.5100
2014-11-14,3.4700,3.4700
2014-11-17,3.5000,3.5000
2014-11-18,3.5000,3.3000
2014-11-19,3.5200,3.3000
2014-11-20,3.4000,3.3500
2014-11-21,4.2800,3.4354
2014-11-24,3.8500,3.4800
2014-11-25,3.6100,3.8100
2014-11-26,4.0500,3.8900
2014-11-28,4.1000,4.0500
2014-12-01,5.3900,3.8700
2014-12-02,4.2800,3.9000
2014-12-03,4.0900,3.9000
2014-12-04,4.2000,3.8500
2014-12-05,3.8700,3.8200
2014-12-08,3.8200,3.7700
2014-12-09,3.8000,3.7300
2014-12-10,3.9300,3.8000
2014-12-11,3.9800,3.7200
2014-12-12,3.7200,3.7400
2014-12-15,3.9200,3.7300
2014-12-16,3.8500,3.7300
2014-12-17,3.7500,3.6500
2014-12-18,3.6600,3.5100
2014-12-19,3.5000,3.5900
2014-12-22,3.6900,3.7300
2014-12-23,3.9400,3.6600
2014-12-24,3.8000,3.7400
2014-12-26,3.9600,3.6500
2014-12-29,3.7600,3.7600
2014-12-30,3.8800,3.5600
2014-12-31,3.8200,3.6400
2015-01-02,3.9600,3.7338
2015-01-05,3.9200,3.6680
2015-01-06,3.8000,3.5100
2015-01-07,3.6900,3.5000
2015-01-08,3.7500,3.7160
2015-01-09,3.7500,3.6214
2015-01-12,3.8000,3.6300
2015-01-13,3.7000,3.7560
2015-01-14,3.7900,3.6100
2015-01-15,3.7400,3.6150
2015-01-16,3.6100,3.6900
2015-01-20,3.7600,3.5900
2015-01-21,3.6900,3.4600
2015-01-22,3.5100,3.5600
2015-01-23,3.6100,3.5400
2015-01-26,3.6200,3.5500
2015-01-27,3.6300,3.6100
2015-01-28,3.6600,3.3900
2015-01-29,3.4900,3.4200
2015-01-30,3.4500,3.3500
2015-02-02,3.5000,3.4590
2015-02-03,3.4000,3.3900
2015-02-04,3.6100,3.3500
2015-02-05,3.5100,3.4999
2015-02-06,3.4600,3.5000
2015-02-09,3.5800,3.4400
2015-02-10,3.5500,3.4600
2015-02-11,3.5200,3.4000
2015-02-12,3.5399,3.4500
2015-02-13,3.5300,3.4600
2015-02-17,3.6000,3.4800
2015-02-18,3.5000,3.5000
2015-02-19,3.5600,3.5750
2015-02-20,3.5300,3.8400
2015-02-23,3.9000,3.6400
2015-02-24,3.7000,3.5800
2015-02-25,3.6800,3.5900
2015-02-26,3.6800,4.0900
2015-02-27,4.1100,4.7000
2015-03-02,4.7100,4.7100
2015-03-03,4.8500,4.5200
2015-03-04,4.6800,4.5100
2015-03-05,4.4716,4.5100
2015-03-06,4.4600,4.3900
2015-03-09,4.2700,4.3800
2015-03-10,4.3900,4.3100
2015-03-11,4.4200,4.4800
2015-03-12,4.4500,4.3600
2015-03-13,4.4000,4.4800
2015-03-16,4.5000,4.6500
2015-03-17,5.1000,4.7500
2015-03-18,4.9400,4.8000
2015-03-19,4.8800,5.2400
2015-03-20,5.3400,5.2500
2015-03-23,5.2500,5.3000
2015-03-24,5.3600,4.9001
2015-03-25,4.9700,4.6000
2015-03-26,4.6000,4.4500
2015-03-27,4.4900,4.5000
