date,open,close
2019-07-26,4.4900,4.5800
2019-07-29,4.7200,4.3100
2019-07-30,4.2700,3.9700
2019-07-31,3.9000,3.8200
2019-08-01,3.8000,3.7000
2019-08-02,3.7100,3.7000
2019-08-05,3.7000,4.7500
2019-08-06,4.2400,3.8700
2019-08-07,3.8500,3.8200
2019-08-08,3.8200,3.7500
2019-08-09,3.7500,3.9700
2019-08-12,3.9500,3.9200
2019-08-13,3.8900,3.8057
2019-08-14,3.6900,3.8300
2019-08-15,3.8900,3.5000
2019-08-16,3.4300,3.0900
2019-08-19,2.8316,2.8000
2019-08-20,2.7400,2.8200
2019-08-21,2.8500,2.9100
2019-08-22,2.9499,2.8200
2019-08-23,2.8000,2.6600
2019-08-26,2.6900,2.7950
2019-08-27,3.1000,2.7300
2019-08-28,2.7600,2.8800
2019-08-29,3.0000,2.9800
2019-08-30,2.9800,3.0100
2019-09-03,3.0100,2.7400
2019-09-04,2.7100,2.8800
2019-09-05,2.9100,2.6800
2019-09-06,2.6947,2.9500
2019-09-09,2.9800,3.1900
2019-09-10,3.1500,3.2800
2019-09-11,3.3000,3.2200
2019-09-12,3.2200,3.5300
2019-09-13,3.5500,3.7300
2019-09-16,3.7500,3.4900
2019-09-17,2.9200,3.3500
2019-09-18,3.3500,3.1900
2019-09-19,2.9200,3.0600
2019-09-20,3.1000,3.1000
2019-09-23,3.0800,3.2900
2019-09-24,3.2400,3.2800
2019-09-25,3.1478,3.6500
2019-09-26,3.7100,3.5700
2019-09-27,3.5000,3.4000
2019-09-30,3.3200,3.3200
2019-10-01,3.3000,3.1500
2019-10-02,3.0600,3.1600
2019-10-03,3.1100,3.1100
2019-10-04,3.0600,3.1200
2019-10-07,3.0600,3.2100
2019-10-08,3.2600,3.2800
2019-10-09,3.3100,3.3200
2019-10-10,3.3000,3.3900
2019-10-11,3.4100,3.3200
2019-10-14,3.3000,3.3200
2019-10-15,3.3000,3.1400
2019-10-16,3.5400,3.2100
2019-10-17,3.2000,3.0000
2019-10-18,2.8500,3.3200
2019-10-21,3.3200,3.2300
2019-10-22,3.2600,3.3600
2019-10-23,3.2600,3.0600
2019-10-24,3.1000,3.0400
2019-10-25,3.0600,2.9500
2019-10-28,2.9500,2.9600
2019-10-29,2.9900,2.8500
2019-10-30,2.8000,2.7800
2019-10-31,2.7800,2.9800
2019-11-01,2.9800,3.0200
2019-11-04,3.0000,2.9900
2019-11-05,2.9300,3.1200
2019-11-06,3.1400,3.0600
2019-11-07,3.0500,3.0600
2019-11-08,3.0800,3.0500
2019-11-11,2.9000,3.0400
2019-11-12,2.9900,3.0000
2019-11-13,3.0200,3.0200
2019-11-14,3.0300,3.1300
2019-11-15,3.1900,3.2300
2019-11-18,3.2400,3.2100
2019-11-19,3.1500,3.1500
2019-11-20,3.1500,2.5700
2019-11-21,2.6600,2.9100
2019-11-22,2.8400,2.7800
2019-11-25,2.8000,2.8800
2019-11-26,2.8400,2.7100
2019-11-27,2.7663,2.8200
2019-11-29,2.8600,2.7700
2019-12-02,2.8500,2.7800
2019-12-03,2.8200,2.7000
2019-12-04,2.7800,2.7700
2019-12-05,2.7800,2.7200
2019-12-06,2.8100,2.5336
2019-12-09,2.5100,2.4800
2019-12-10,2.4500,2.2700
2019-12-11,2.4086,2.0600
2019-12-12,2.0700,2.0800
2019-12-13,2.0700,2.0100
2019-12-16,2.0600,2.1000
2019-12-17,2.1000,2.2900
2019-12-18,2.2800,2.4400
2019-12-19,2.4600,2.6400
2019-12-20,2.6400,2.4300
2019-12-23,2.5000,2.4600
2019-12-24,2.4200,2.4800
2019-12-26,2.4200,2.4900
2019-12-27,2.4200,2.1200
2019-12-30,2.1400,2.2400
2019-12-31,2.3000,2.0102
2020-01-02,2.1000,2.0900
2020-01-03,2.0700,2.0750
2020-01-06,2.0500,2.0700
2020-01-07,2.0700,2.1000
2020-01-08,2.0743,2.0400
2020-01-09,2.0900,2.1000
2020-01-10,2.0700,2.0400
2020-01-13,2.0100,2.0500
2020-01-14,2.0300,1.8600
2020-01-15,1.8800,1.9300
2020-01-16,1.9500,1.9700
2020-01-17,1.9800,1.9500
2020-01-21,1.9500,1.8100
2020-01-22,1.8138,1.7200
2020-01-23,1.7374,1.7300
2020-01-24,1.7300,1.6400
2020-01-27,1.6216,1.5400
2020-01-28,1.6935,1.6800
2020-01-29,1.5800,1.5900
2020-01-30,1.6100,1.5500
2020-01-31,1.3300,1.2500
2020-02-03,1.2500,1.2959
2020-02-04,1.3000,1.2500
2020-02-05,1.2000,1.2500
2020-02-06,1.2900,1.4100
2020-02-07,1.6300,1.2300
2020-02-10,1.2900,1.2800
2020-02-11,1.3100,1.1200
2020-02-12,1.1500,1.1501
