date,open,close
2014-10-30,3.0000,3.2100
2014-10-31,3.5000,3.5000
2014-11-03,3.5000,3.5000
2014-11-04,3.3000,3.2500
2014-11-05,3.1500,3.1500
2014-11-06,3.1500,3.0000
2014-11-07,3.0000,3.0000
2014-11-10,3.0500,3.0500
2014-11-11,3.0400,3.0400
2014-11-12,3.0500,3.0500
2014-11-13,3.1000,3.1000
2014-11-14,3.1000,2.8500
2014-11-17,2.8500,2.8500
2014-11-18,2.8900,2.8500
2014-11-19,2.8500,2.8300
2014-11-20,2.8500,2.8300
2014-11-21,2.8300,2.9000
2014-11-24,2.9000,2.9000
2014-11-25,2.9000,2.9000
2014-11-26,2.9000,2.9000
2014-11-28,2.9000,2.9000
2014-12-01,2.8000,2.9900
2014-12-02,2.9000,2.8500
2014-12-03,2.9000,2.8500
2014-12-04,2.9000,2.8500
2014-12-05,2.8500,2.8500
2014-12-08,2.8700,2.8700
2014-12-09,2.8100,2.8700
2014-12-10,2.8700,2.8700
2014-12-11,2.8800,2.8800
2014-12-12,2.7100,2.8200
2014-12-15,2.7100,2.8200
2014-12-16,2.7900,2.8400
2014-12-17,2.8200,2.8200
2014-12-18,2.6500,2.8300
2014-12-19,2.8300,2.8300
2014-12-22,2.7700,2.7000
2014-12-23,2.7000,2.7000
2014-12-24,2.7000,2.7000
2014-12-26,2.6500,2.5600
2014-12-29,2.7700,2.8000
2014-12-30,2.6600,2.7900
2014-12-31,2.8000,2.8000
2015-01-02,2.6000,2.8000
2015-01-05,2.7500,2.7900
2015-01-06,2.7500,2.7500
2015-01-07,2.7600,2.7600
2015-01-08,2.8000,2.8450
2015-01-09,2.8500,2.6200
2015-01-12,2.5100,2.4400
2015-01-13,2.3000,2.2900
2015-01-14,2.2900,2.2500
2015-01-15,2.2490,2.5000
2015-01-16,2.3000,2.3000
2015-01-20,2.0600,2.0600
2015-01-21,2.0900,2.0900
2015-01-22,2.0400,2.1100
2015-01-23,2.1100,2.2000
2015-01-26,2.1000,2.0900
2015-01-27,1.9500,1.9500
2015-01-28,1.9500,2.1100
2015-01-29,2.0700,2.1500
2015-01-30,1.9500,1.9900
2015-02-02,1.9500,1.9900
2015-02-03,1.9900,1.9900
2015-02-04,1.9950,1.9500
2015-02-05,1.9950,1.9500
2015-02-06,1.9000,1.7500
2015-02-09,1.8500,2.4750
2015-02-10,2.0000,2.0000
2015-02-11,1.8500,2.0000
2015-02-12,2.0000,2.1000
2015-02-13,1.9600,1.9100
2015-02-17,1.9000,2.1100
2015-02-18,1.9600,2.1330
2015-02-19,1.8000,1.9900
2015-02-20,2.0000,2.0200
2015-02-23,2.2400,2.2400
2015-02-24,2.2400,2.2400
2015-02-25,1.8500,1.7700
2015-02-26,1.8500,2.0900
2015-02-27,2.1700,2.1500
2015-03-02,2.2720,2.2640
2015-03-03,2.2645,2.0500
2015-03-04,2.0500,2.0360
2015-03-05,2.0000,2.0500
2015-03-06,1.9900,1.9900
2015-03-09,1.9600,1.8000
2015-03-10,1.8000,1.9000
2015-03-11,1.7290,1.9000
2015-03-12,1.7975,1.7500
2015-03-13,1.7500,1.8500
2015-03-16,1.8450,1.8500
2015-03-17,1.7500,1.9000
2015-03-18,1.8500,1.8900
2015-03-19,1.7800,1.8000
2015-03-20,1.7500,1.8900
2015-03-23,1.9000,1.7500
2015-03-24,1.7500,1.7500
2015-03-25,1.8000,1.8000
2015-03-26,1.7500,1.8000
2015-03-27,1.7500,1.7500
2015-03-30,1.7500,1.7500
2015-03-31,1.8000,2.4000
2015-04-01,2.4000,2.5000
2015-04-02,2.5500,2.6000
2015-04-06,2.7000,2.7500
2015-04-07,2.7500,3.0400
2015-04-08,2.9050,3.5000
2015-04-09,3.4500,3.9900
2015-04-10,4.0200,4.6200
2015-04-13,4.7700,4.4000
2015-04-14,3.8000,3.7000
2015-04-15,3.8000,3.7000
2015-04-16,3.7000,4.0000
2015-04-17,4.0000,3.8900
2015-04-20,3.8900,3.7500
2015-04-21,3.5300,3.9000
2015-04-22,3.9000,3.7500
2015-04-23,3.8000,3.8000
2015-04-24,3.8000,3.6200
2015-04-27,3.6200,3.2800
2015-04-28,3.2800,3.2000
