date,open,close
2014-04-10,7.1000,6.8500
2014-04-11,6.6700,6.8500
2014-04-14,7.1000,7.0500
2014-04-15,6.9000,6.5600
2014-04-16,7.7300,6.8300
2014-04-17,6.8500,6.5500
2014-04-21,7.3300,6.9900
2014-04-22,6.7800,7.1000
2014-04-23,7.1000,6.9000
2014-04-24,6.8200,6.7400
2014-04-25,6.7000,6.6500
2014-04-28,6.6500,6.7100
2014-04-29,6.6800,6.8100
2014-04-30,6.7500,6.9400
2014-05-01,6.9550,6.9100
2014-05-02,6.9300,6.9400
2014-05-05,6.7500,6.7500
2014-05-06,6.8100,6.8400
2014-05-07,6.7100,6.7400
2014-05-08,6.7100,6.6800
2014-05-09,6.5000,6.5000
2014-05-12,6.3800,6.4100
2014-05-13,6.2700,6.4900
2014-05-14,6.4800,6.8600
2014-05-15,6.5900,6.4600
2014-05-16,6.4600,6.4600
2014-05-19,6.4565,6.4900
2014-05-20,6.4500,6.2700
2014-05-21,6.2800,6.3500
2014-05-22,6.2600,6.2500
2014-05-23,6.3430,5.7100
2014-05-27,5.5300,5.7500
2014-05-28,5.8900,5.7300
2014-05-29,5.6600,5.6000
2014-05-30,5.6200,5.7100
2014-06-02,5.9100,5.6700
2014-06-03,5.7300,5.6900
2014-06-04,5.5450,5.7800
2014-06-05,5.6400,5.5920
2014-06-06,5.4900,5.4300
2014-06-09,5.4000,6.2550
2014-06-10,6.9999,6.6000
2014-06-11,6.9200,6.6100
2014-06-12,6.7400,6.8900
2014-06-13,6.9300,6.9300
2014-06-16,6.9200,6.8600
2014-06-17,6.9800,7.0350
2014-06-18,7.1000,7.1400
2014-06-19,7.3000,7.2700
2014-06-20,7.4700,5.8100
2014-06-23,6.5000,6.3200
2014-06-24,6.3200,5.7300
2014-06-25,5.5200,5.6800
2014-06-26,5.9900,5.8600
2014-06-27,5.8600,5.7900
2014-06-30,5.8600,5.8000
2014-07-01,5.8000,5.6200
2014-07-02,5.6200,5.3700
2014-07-03,5.4000,5.2500
2014-07-07,5.1400,5.2300
2014-07-08,5.2200,5.3000
2014-07-09,5.5100,5.5200
2014-07-10,5.5400,5.6000
2014-07-11,5.5800,5.6700
2014-07-14,5.4100,5.4100
2014-07-15,5.5600,5.2400
2014-07-16,5.1600,5.2600
2014-07-17,5.4700,4.9800
2014-07-18,5.0100,5.0100
2014-07-21,5.1300,5.0200
2014-07-22,5.1300,5.1200
2014-07-23,5.1200,5.1100
2014-07-24,5.2400,5.0700
2014-07-25,5.0400,4.8000
2014-07-28,4.7500,4.2800
2014-07-29,4.8600,4.4100
2014-07-30,4.2900,4.1600
2014-07-31,4.1800,4.0300
2014-08-01,4.0100,4.0400
2014-08-04,4.0000,3.9400
2014-08-05,3.7800,3.7200
2014-08-06,4.2600,3.7500
2014-08-07,3.6600,3.7700
2014-08-08,3.8900,3.5900
2014-08-11,3.8400,3.4500
2014-08-12,3.4500,3.4600
2014-08-13,3.7500,4.5200
2014-08-14,4.9500,5.0700
2014-08-15,5.0100,5.0440
2014-08-18,5.1200,5.1500
2014-08-19,5.2500,4.8400
2014-08-20,4.9900,4.4800
2014-08-21,4.5500,4.6700
2014-08-22,4.6700,4.4900
2014-08-25,4.5700,4.3000
2014-08-26,4.2600,4.0700
2014-08-27,4.0800,4.0700
2014-08-28,3.9400,4.2900
2014-08-29,4.3700,4.3400
2014-09-02,4.3100,4.2800
2014-09-03,4.2100,4.3400
2014-09-04,4.2800,4.3084
2014-09-05,4.3001,4.1500
2014-09-08,4.2100,4.1400
2014-09-09,3.9700,4.0600
2014-09-10,4.0300,4.0500
2014-09-11,4.0100,3.9600
2014-09-12,3.8200,4.1000
2014-09-15,4.1550,3.9500
2014-09-16,3.9100,3.9200
2014-09-17,3.9600,3.9900
2014-09-18,4.2399,3.8800
2014-09-19,3.9100,3.9100
2014-09-22,3.9500,3.6100
2014-09-23,3.7200,3.7700
2014-09-24,3.8300,3.5000
2014-09-25,3.6000,3.5900
2014-09-26,3.5100,3.9400
2014-09-29,3.6396,3.9900
2014-09-30,4.0000,4.2200
2014-10-01,4.0700,4.5200
2014-10-02,4.4900,4.8300
2014-10-03,4.7800,4.7400
2014-10-06,4.7800,4.5600
2014-10-07,4.4400,4.3300
2014-10-08,4.3100,4.4000
2014-10-09,4.3700,4.6300
2014-10-10,4.6400,4.7300
2014-10-13,4.7400,4.5700
2014-10-14,4.4600,4.4900
2014-10-15,4.3900,4.5000
2014-10-16,4.5100,4.7500
2014-10-17,4.6100,4.7200
2014-10-20,4.6900,4.4900
2014-10-21,4.6000,4.3000
2014-10-22,4.3300,4.3600
