date,open,close
2016-12-27,7.0000,5.8500
2016-12-28,6.0200,5.6800
2016-12-29,5.5000,5.4000
2016-12-30,5.2900,4.9500
2017-01-03,5.0000,4.6771
2017-01-04,4.7500,5.9300
2017-01-05,5.9000,5.0000
2017-01-06,5.3000,5.1200
2017-01-09,5.2600,4.6800
2017-01-10,4.9600,4.2100
2017-01-11,4.1600,4.2500
2017-01-12,4.4000,4.2700
2017-01-13,4.4738,4.1500
2017-01-17,4.3300,4.3600
2017-01-18,4.4500,4.2000
2017-01-19,4.0900,4.0500
2017-01-20,4.2200,4.0600
2017-01-23,4.0500,4.0900
2017-01-24,4.0300,4.1774
2017-01-25,4.1200,4.0300
2017-01-26,4.1300,4.0500
2017-01-27,4.0500,3.9600
2017-01-30,3.7400,3.8000
2017-01-31,3.9000,3.7000
2017-02-01,3.9700,3.9600
2017-02-02,3.8900,3.7000
2017-02-03,3.8400,3.9500
2017-02-06,4.0200,4.0250
2017-02-07,4.0100,4.0400
2017-02-08,4.0500,4.0700
2017-02-09,4.0700,4.0900
2017-02-10,4.0900,4.0200
2017-02-13,4.0800,4.0700
2017-02-14,4.1000,4.0600
2017-02-15,4.1000,4.0340
2017-02-16,4.1000,4.0600
2017-02-17,4.1000,4.2000
2017-02-21,4.4600,4.1400
2017-02-22,4.0300,4.0400
2017-02-23,3.9800,4.0400
2017-02-24,3.9700,4.0200
2017-02-27,4.0800,3.9600
2017-02-28,3.9800,3.7800
2017-03-01,3.9900,3.8200
2017-03-02,3.8900,3.3000
2017-03-03,3.4500,3.4600
2017-03-06,3.5000,3.3500
2017-03-07,3.4000,3.6900
2017-03-08,3.8800,3.9300
2017-03-09,3.7100,3.9900
2017-03-10,3.9700,4.0700
2017-03-13,4.0800,3.9900
2017-03-14,4.1700,3.9900
2017-03-15,3.9500,3.9000
2017-03-16,3.9300,3.8900
2017-03-17,3.9900,3.6700
2017-03-20,3.7400,3.5200
2017-03-21,3.6800,3.4500
2017-03-22,3.3600,3.4100
2017-03-23,3.6200,3.3600
2017-03-24,3.5300,3.3500
2017-03-27,3.4100,3.3600
2017-03-28,3.6000,3.4500
2017-03-29,3.4000,3.4400
2017-03-30,3.4200,3.3600
2017-03-31,3.3900,3.2600
2017-04-03,3.3700,3.1900
2017-04-04,3.2200,3.1800
2017-04-05,3.4900,3.3100
2017-04-06,3.3400,3.3200
2017-04-07,3.3600,3.3500
2017-04-10,3.4200,3.3500
2017-04-11,3.3500,3.4000
2017-04-12,3.4700,3.4700
2017-04-13,3.4210,3.5400
2017-04-17,3.4400,3.5600
2017-04-18,3.4500,3.6600
2017-04-19,3.4900,3.6700
2017-04-20,3.4600,3.7400
2017-04-21,3.5200,3.7500
2017-04-24,3.7400,3.9400
2017-04-25,3.7000,4.0600
2017-04-26,3.7800,4.0800
2017-04-27,3.8800,4.0600
2017-04-28,3.8700,4.0500
2017-05-01,3.8700,4.0600
2017-05-02,4.2000,3.7800
2017-05-03,3.9700,4.0260
2017-05-04,4.0200,4.0430
2017-05-05,4.0500,4.0400
2017-05-08,4.0600,4.0200
2017-05-09,4.0100,4.0300
2017-05-10,4.1500,4.1200
2017-05-11,4.1060,4.2400
2017-05-12,4.2300,4.2300
2017-05-15,4.1290,4.1900
2017-05-16,4.2000,4.0300
2017-05-17,4.1810,3.9300
2017-05-18,3.9000,3.7450
2017-05-19,3.7400,3.7090
2017-05-22,3.7300,3.9000
2017-05-23,3.7290,3.9500
2017-05-24,4.1300,4.0100
2017-05-25,4.0100,4.2400
2017-05-26,4.2240,3.9900
2017-05-30,3.9730,3.9200
2017-05-31,4.0620,3.8000
2017-06-01,3.8000,3.8000
2017-06-02,3.8000,3.6800
2017-06-05,3.8400,3.7000
2017-06-06,3.8000,3.7000
2017-06-07,3.7500,3.6100
2017-06-08,3.7400,3.6200
2017-06-09,3.6800,3.4900
2017-06-12,3.6700,3.4000
2017-06-13,3.5100,3.5000
2017-06-14,3.5500,3.5300
2017-06-15,3.5000,3.4500
2017-06-16,3.5000,3.3100
2017-06-19,3.4600,3.3100
2017-06-20,3.4000,3.2600
2017-06-21,3.2600,3.2700
2017-06-22,3.3500,3.1900
2017-06-23,3.2500,3.0900
2017-06-26,3.1400,2.8100
2017-06-27,3.0000,2.9200
2017-06-28,2.8500,2.6600
2017-06-29,2.6600,2.5300
2017-06-30,2.6700,2.6600
2017-07-03,2.7100,2.7300
2017-07-05,2.7800,2.7000
2017-07-06,2.7000,2.5400
2017-07-07,2.5500,2.7000
2017-07-10,2.7100,3.0500
2017-07-11,3.0500,3.0300
2017-07-12,3.0000,3.0300
2017-07-13,3.0800,3.0300
2017-07-14,3.0100,2.8960
2017-07-17,3.0000,2.9200
2017-07-18,3.0300,2.9200
