date,open,close
2014-02-11,1.7500,1.8500
2014-02-12,1.8500,2.0000
2014-02-13,1.5000,1.9000
2014-02-14,1.7000,1.7000
2014-02-18,0.0100,1.5600
2014-02-19,1.4000,1.4900
2014-02-20,1.5000,1.2000
2014-02-21,1.1900,1.4000
2014-02-24,1.7000,1.2500
2014-02-25,1.3000,1.2000
2014-02-26,1.1700,1.2200
2014-02-27,1.2000,1.3200
2014-02-28,1.3200,1.5600
2014-03-03,1.6100,1.5000
2014-03-04,1.4300,1.5100
2014-03-05,1.5200,1.6500
2014-03-06,1.6500,1.8000
2014-03-07,1.8000,1.8900
2014-03-10,1.9500,2.6000
2014-03-11,2.9500,2.3700
2014-03-12,2.6900,2.2600
2014-03-13,2.6400,2.3000
2014-03-14,2.4200,2.3120
2014-03-17,2.4500,2.3100
2014-03-18,2.2600,2.3100
2014-03-19,2.3900,2.3600
2014-03-20,2.4000,2.4800
2014-03-21,2.5300,2.9000
2014-03-24,2.9000,2.9600
2014-03-25,2.9600,2.7800
2014-03-26,2.7800,2.5500
2014-03-27,2.5500,2.2500
2014-03-28,2.2700,2.2500
2014-03-31,2.2500,2.2500
2014-04-01,2.2800,2.3500
2014-04-02,2.5500,2.3500
2014-04-03,2.5900,2.2800
2014-04-04,2.2800,2.2500
2014-04-07,2.2500,2.2200
2014-04-08,2.2000,2.1700
2014-04-09,2.2000,2.2000
2014-04-10,2.2200,2.0500
2014-04-11,1.9900,2.0100
2014-04-14,2.0100,2.1000
2014-04-15,2.1000,1.9700
2014-04-16,2.0300,1.9800
2014-04-17,2.0000,2.0000
2014-04-21,1.9500,1.9500
2014-04-22,1.9500,1.8800
2014-04-23,1.7800,1.8500
2014-04-24,1.7800,1.9000
2014-04-25,1.7500,1.7500
2014-04-28,1.7300,1.8500
2014-04-29,1.8300,1.9000
2014-04-30,1.9000,1.8700
2014-05-01,1.9000,1.9000
2014-05-02,2.0000,2.0200
2014-05-05,2.0500,2.0500
2014-05-06,1.9200,2.0000
2014-05-07,2.0100,1.7500
2014-05-08,1.6200,1.6000
2014-05-09,1.5500,1.4500
2014-05-12,1.4600,1.3000
2014-05-13,1.3500,1.5800
2014-05-14,1.6000,1.5000
2014-05-15,1.5000,1.4900
2014-05-16,1.4900,1.5000
2014-05-19,1.4300,1.5000
2014-05-20,1.4500,1.4100
2014-05-21,1.4100,1.4500
2014-05-22,1.4500,1.4400
2014-05-23,1.4500,1.5400
2014-05-27,1.5400,1.5700
2014-05-28,1.8700,1.6800
2014-05-29,1.6900,1.6900
2014-05-30,1.5100,1.5400
2014-06-02,1.5400,1.5800
2014-06-03,1.6000,1.5300
2014-06-04,1.5500,1.8000
2014-06-05,1.9200,2.0100
2014-06-06,2.0000,2.0000
2014-06-09,1.9900,1.8500
2014-06-10,1.8000,1.8200
2014-06-11,1.8200,1.8300
2014-06-12,1.8300,1.7200
2014-06-13,1.6800,1.6500
2014-06-16,1.6500,1.6600
2014-06-17,1.6500,1.6500
2014-06-18,1.5100,1.5400
2014-06-19,1.5500,1.6500
2014-06-20,1.6500,1.7000
2014-06-23,1.5900,1.6000
2014-06-24,1.7100,1.5300
2014-06-25,1.5300,1.2400
2014-06-26,1.2400,1.2000
2014-06-27,1.1600,1.1100
2014-06-30,1.1100,1.1100
2014-07-01,1.1200,1.1900
2014-07-02,1.2000,1.1600
2014-07-03,1.1100,1.1600
2014-07-07,1.1100,1.1000
2014-07-08,1.1000,1.1100
2014-07-09,1.1000,1.0300
2014-07-10,1.0000,1.0100
2014-07-11,1.0700,1.3500
2014-07-14,1.3500,1.1700
2014-07-15,1.1500,1.1180
2014-07-16,1.4000,1.3700
2014-07-17,1.3200,1.3800
2014-07-18,1.3800,1.3800
2014-07-21,1.3100,1.5000
2014-07-22,1.2740,1.4900
2014-07-23,1.3500,1.3700
2014-07-24,1.2500,1.5000
2014-07-25,1.5000,1.7500
2014-07-28,1.7000,1.6900
2014-07-29,1.6000,1.6400
2014-07-30,1.6400,1.4500
2014-07-31,1.2500,1.2600
2014-08-01,1.2500,1.2900
2014-08-04,1.2300,1.3040
2014-08-05,1.3000,1.3000
2014-08-06,1.2100,1.1900
2014-08-07,1.1900,1.5500
2014-08-08,1.5500,1.3500
2014-08-11,1.2000,1.1600
2014-08-12,1.1500,1.1800
2014-08-13,1.1640,1.1600
2014-08-14,1.1780,1.2000
2014-08-15,1.2500,1.2000
