date,open,close
2018-06-27,5.5500,5.1000
2018-06-28,5.5000,4.9100
2018-06-29,4.9500,5.0500
2018-07-02,5.0500,4.9700
2018-07-03,5.0500,4.9900
2018-07-05,5.1000,5.0000
2018-07-06,5.0300,4.7000
2018-07-09,4.7500,4.4300
2018-07-10,4.5300,4.8100
2018-07-11,4.8900,4.8000
2018-07-12,4.8300,4.9900
2018-07-13,5.0000,4.8700
2018-07-16,4.9100,4.8500
2018-07-17,4.8900,4.8300
2018-07-18,4.8300,4.8000
2018-07-19,4.8000,4.6500
2018-07-20,4.7100,4.6100
2018-07-23,4.6000,4.1700
2018-07-24,4.1000,3.7500
2018-07-25,3.7300,3.2300
2018-07-26,3.2500,3.3600
2018-07-27,3.3400,3.4200
2018-07-30,3.4500,3.3200
2018-07-31,4.1000,3.5800
2018-08-01,3.5300,3.6000
2018-08-02,3.6200,3.4700
2018-08-03,3.4500,3.3500
2018-08-06,3.3300,3.1500
2018-08-07,3.1400,3.2600
2018-08-08,3.2500,3.0763
2018-08-09,3.0400,3.0600
2018-08-10,3.0400,2.9800
2018-08-13,2.9700,2.7700
2018-08-14,3.3800,3.0100
2018-08-15,3.0000,2.8500
2018-08-16,2.9000,2.9500
2018-08-17,2.9800,2.9300
2018-08-20,2.9100,3.2100
2018-08-21,3.2000,3.2400
2018-08-22,3.2700,3.4900
2018-08-23,3.5100,3.6500
2018-08-24,3.6500,3.2700
2018-08-27,3.3900,3.4100
2018-08-28,3.4400,3.3500
2018-08-29,3.3300,3.2500
2018-08-30,3.2000,3.1400
2018-08-31,3.1600,3.1700
2018-09-04,3.2200,3.2900
2018-09-05,3.3000,3.0100
2018-09-06,3.0100,2.9500
2018-09-07,2.9500,3.0600
2018-09-10,3.0800,2.9400
2018-09-11,2.9200,2.7700
2018-09-12,2.7500,2.6000
2018-09-13,2.6300,2.5700
2018-09-14,2.7200,2.8399
2018-09-17,2.7800,2.8300
2018-09-18,2.8600,3.1000
2018-09-19,3.1500,3.0300
2018-09-20,3.0500,3.2600
2018-09-21,3.2700,2.8500
2018-09-24,2.8600,2.6300
2018-09-25,2.6600,2.6300
2018-09-26,2.6600,2.6300
2018-09-27,2.6100,2.6300
2018-09-28,2.6200,2.5500
2018-10-01,2.5800,2.7500
2018-10-02,2.7400,2.6000
2018-10-03,2.6000,2.6700
2018-10-04,2.6700,2.7000
2018-10-05,2.6800,2.6000
2018-10-08,2.5100,2.2400
2018-10-09,2.2500,2.4600
2018-10-10,2.4700,2.4000
2018-10-11,2.3600,2.2600
2018-10-12,2.3100,2.3000
2018-10-15,2.3000,1.9900
2018-10-16,2.0000,2.0300
2018-10-17,2.0300,2.0500
