date,open,close
2000-02-14,4.5000,4.3750
2000-02-15,4.5470,4.1250
2000-02-16,4.2500,4.5630
2000-02-17,4.7810,6.1880
2000-02-18,6.7500,5.6250
2000-02-22,5.3440,4.7500
2000-02-23,4.8750,4.6250
2000-02-24,4.6250,4.3750
2000-02-25,4.3130,4.5000
2000-02-28,4.3440,4.2500
2000-02-29,4.3750,5.0000
2000-03-01,5.3130,5.6880
2000-03-02,5.8750,6.0000
2000-03-03,6.0000,5.9380
2000-03-06,5.7500,6.0630
2000-03-07,6.1250,6.8750
2000-03-08,7.4380,6.5940
2000-03-09,6.4380,7.3750
2000-03-10,7.2500,8.5000
2000-03-13,8.3750,8.0000
2000-03-14,7.6250,6.7500
2000-03-15,6.6560,6.5630
2000-03-16,6.6880,6.0000
2000-03-17,5.1880,5.5630
2000-03-20,6.9380,5.7500
2000-03-21,5.5000,5.4380
2000-03-22,5.2500,5.5310
2000-03-23,5.5000,6.3750
2000-03-24,6.5000,5.8130
2000-03-27,5.6250,5.4380
2000-03-28,5.6880,5.5000
2000-03-29,6.0000,5.2500
2000-03-30,5.3750,4.8130
2000-03-31,4.8130,4.5000
2000-04-03,4.8130,4.4840
2000-04-04,4.3130,4.2500
2000-04-05,3.9380,4.5000
2000-04-06,4.5000,5.0000
2000-04-07,5.0000,5.0000
2000-04-10,5.0000,5.0630
2000-04-11,5.1880,4.8750
2000-04-12,5.0630,4.5630
2000-04-13,4.6250,4.3750
2000-04-14,4.5630,3.6880
2000-04-17,3.3750,3.1250
2000-04-18,3.1880,3.0630
2000-04-19,3.5000,4.0000
2000-04-20,4.1880,3.8750
2000-04-24,4.0000,3.5630
2000-04-25,3.6880,3.7500
2000-04-26,4.0000,3.9380
2000-04-27,3.5630,3.8130
2000-04-28,3.7500,3.5000
2000-05-01,3.3750,3.7500
2000-05-02,3.8130,3.8130
2000-05-03,3.5630,3.6250
2000-05-04,3.5000,3.5630
2000-05-05,3.6250,3.4060
2000-05-08,3.3130,3.6250
2000-05-09,3.6200,3.6200
2000-05-10,3.5000,3.3130
2000-05-11,3.5000,3.1880
2000-05-12,3.1250,3.2500
2000-05-15,3.2500,3.2500
2000-05-16,3.4060,3.5000
2000-05-17,3.6880,3.3130
2000-05-18,3.5000,3.3750
2000-05-19,3.3750,3.3750
2000-05-22,3.3130,3.3750
2000-05-23,3.2500,3.0630
2000-05-24,3.1250,2.9380
2000-05-25,2.8590,3.0630
2000-05-26,3.0000,2.5000
2000-05-30,2.8130,2.7500
2000-05-31,2.5630,2.8130
2000-06-01,3.0000,3.1250
2000-06-02,3.1250,3.2500
2000-06-05,3.5000,3.2500
2000-06-06,3.2500,3.5000
2000-06-07,3.7500,3.5000
2000-06-08,3.5000,3.7500
2000-06-09,3.5000,3.6250
2000-06-12,3.6250,3.3130
2000-06-13,3.8750,3.9380
2000-06-14,3.5630,3.5310
2000-06-15,3.6560,3.6560
2000-06-16,3.8750,3.7500
2000-06-19,3.5940,3.6250
2000-06-20,3.6250,3.6250
2000-06-21,3.5630,3.7500
2000-06-22,3.7500,3.5000
2000-06-23,3.5000,3.3750
2000-06-26,3.5630,3.8750
2000-06-27,4.0000,4.1250
2000-06-28,4.0630,4.0000
2000-06-29,4.0000,3.9060
2000-06-30,3.9690,3.6880
2000-07-03,3.7500,3.8130
2000-07-05,4.0000,3.8130
2000-07-06,3.6880,3.5000
2000-07-07,3.5000,3.5000
2000-07-10,3.3750,3.3750
2000-07-11,3.5000,3.6250
2000-07-12,3.7500,3.6250
2000-07-13,3.5630,3.2810
2000-07-14,3.3130,3.7500
2000-07-17,3.8130,3.7500
2000-07-18,3.5000,3.8750
2000-07-19,3.8750,3.8750
2000-07-20,3.8750,3.6880
2000-07-21,3.6250,3.5630
2000-07-24,3.5940,3.3750
2000-07-25,3.5000,3.1560
2000-07-26,3.0000,3.0630
2000-07-27,3.0630,3.0630
2000-07-28,3.1250,3.1880
2000-07-31,3.2190,3.3750
2000-08-01,3.2190,3.2500
2000-08-02,3.0000,2.9380
2000-08-03,2.9380,2.9380
2000-08-04,2.8750,2.8750
2000-08-07,2.8750,2.7500
2000-08-08,2.7500,2.8750
2000-08-09,2.8800,2.8800
2000-08-10,2.8750,2.8130
2000-08-11,2.8130,2.8280
2000-08-14,2.8130,2.8750
2000-08-15,2.8750,2.7810
2000-08-16,2.8750,2.8750
2000-08-17,2.7500,2.9380
2000-08-18,2.7500,2.8750
2000-08-21,2.7500,2.8130
2000-08-22,2.8130,2.7500
2000-08-23,2.7810,2.8130
2000-08-24,2.8130,2.7500
2000-08-25,2.5000,2.7500
2000-08-28,2.7190,2.7500
2000-08-29,2.7500,2.9380
2000-08-30,2.9380,3.0000
2000-08-31,3.0000,3.0000
2000-09-01,3.0000,3.0630
2000-09-05,3.0000,2.8750
2000-09-06,2.9690,3.0000
2000-09-07,3.0000,3.0000
2000-09-08,2.7190,2.7500
2000-09-11,2.7970,2.7810
2000-09-12,2.7810,2.8750
2000-09-13,2.8130,2.8130
2000-09-14,2.8130,2.7190
2000-09-15,2.6250,2.6250
2000-09-18,2.7810,2.6250
2000-09-19,2.7500,2.6250
2000-09-20,2.7500,2.6880
2000-09-21,2.5310,2.7500
2000-09-22,2.4840,2.7500
2000-09-25,2.7500,2.5940
2000-09-26,2.5940,2.7190
2000-09-27,2.7340,2.3750
2000-09-28,2.3130,2.5000
2000-09-29,2.5000,2.3750
2000-10-02,2.3750,2.3750
2000-10-03,2.5000,2.4380
2000-10-04,2.5000,2.5000
2000-10-05,2.5000,2.5000
2000-10-06,2.5000,2.5000
2000-10-09,2.5000,2.5000
2000-10-10,2.3750,2.5000
2000-10-11,2.2500,2.3750
2000-10-12,2.2500,2.2500
2000-10-13,2.3750,2.5000
2000-10-16,2.4380,2.5000
2000-10-17,2.3750,2.3750
2000-10-18,2.3750,2.5000
2000-10-19,2.3130,2.5000
2000-10-20,2.3750,2.3750
2000-10-23,2.3750,2.3130
