date,open,close
2015-04-09,6.5000,5.5600
2015-04-10,5.6200,5.2900
2015-04-13,5.1900,5.0400
2015-04-14,5.0200,5.3300
2015-04-15,5.3900,5.6100
2015-04-16,5.7400,5.3900
2015-04-17,5.7000,6.0900
2015-04-20,6.4400,7.3300
2015-04-21,7.4800,7.4000
2015-04-22,6.9000,7.0200
2015-04-23,7.1000,7.5600
2015-04-24,7.9000,7.4500
2015-04-27,7.6700,6.8500
2015-04-28,6.7500,5.8400
2015-04-29,5.8800,5.2000
2015-04-30,5.0000,5.0400
2015-05-01,5.0600,5.4200
2015-05-04,6.0200,5.9900
2015-05-05,6.0200,5.8700
2015-05-06,5.8600,5.5500
2015-05-07,5.5900,5.7000
2015-05-08,5.5100,5.9600
2015-05-11,6.0000,5.8700
2015-05-12,5.7000,6.5600
2015-05-13,6.6100,6.9700
2015-05-14,7.0700,7.2400
2015-05-15,7.2500,7.7000
2015-05-18,7.8100,7.6100
2015-05-19,7.6500,7.1600
2015-05-20,7.0700,7.3600
2015-05-21,7.3700,7.5100
2015-05-22,7.4700,7.5400
2015-05-26,7.5200,7.5000
2015-05-27,7.4800,7.2000
2015-05-28,7.0700,7.4600
2015-05-29,7.3800,7.4900
2015-06-01,8.1000,7.5000
2015-06-02,7.4500,7.7000
2015-06-03,7.6300,7.9700
2015-06-04,7.9500,8.4600
2015-06-05,8.4800,8.8000
2015-06-08,8.6500,9.0400
2015-06-09,9.0000,8.9000
2015-06-10,8.8900,8.8900
2015-06-11,8.8400,8.8000
2015-06-12,8.7300,8.7900
2015-06-15,8.7000,8.7100
2015-06-16,8.6600,8.6800
2015-06-17,8.6700,8.3500
2015-06-18,8.3300,8.5500
2015-06-19,8.4800,7.7100
2015-06-22,7.8900,8.1400
2015-06-23,8.3500,7.2700
2015-06-24,7.1600,7.1300
2015-06-25,7.4900,6.7700
2015-06-26,6.7300,6.9700
2015-06-29,6.8900,7.1000
2015-06-30,7.0500,7.1500
2015-07-01,7.3699,7.0800
2015-07-02,7.0400,6.6100
2015-07-06,6.5000,7.1600
2015-07-07,7.1300,7.2000
2015-07-08,6.5580,7.0800
2015-07-09,7.1800,6.9500
2015-07-10,7.0200,7.2600
2015-07-13,7.2700,7.1100
2015-07-14,7.0600,7.3000
2015-07-15,7.2500,7.0900
2015-07-16,7.0400,7.1300
2015-07-17,7.1100,7.8500
2015-07-20,7.8300,7.2300
2015-07-21,7.2300,7.4500
2015-07-22,7.4000,7.6300
2015-07-23,7.5900,7.4700
2015-07-24,7.5200,6.8900
2015-07-27,6.8800,6.8800
2015-07-28,6.8800,7.2900
2015-07-29,7.2400,7.1800
2015-07-30,7.1200,7.0200
2015-07-31,7.0800,6.9100
2015-08-03,6.8900,6.9100
2015-08-04,6.8800,6.8400
2015-08-05,6.9000,6.8100
2015-08-06,6.7600,6.5700
2015-08-07,6.5400,6.5500
2015-08-10,6.5300,6.5900
2015-08-11,6.6000,6.4800
2015-08-12,6.3400,6.2000
2015-08-13,6.3800,6.2500
2015-08-14,6.2800,6.2800
2015-08-17,6.2400,6.4600
2015-08-18,6.4100,6.5300
2015-08-19,6.4700,6.7000
2015-08-20,6.6300,6.6700
2015-08-21,6.4500,6.2900
2015-08-24,6.0900,5.5000
2015-08-25,5.6700,5.0200
2015-08-26,5.1400,5.3600
2015-08-27,5.4000,5.0900
2015-08-28,5.0100,5.3800
2015-08-31,5.6800,5.4300
2015-09-01,5.2600,5.0800
2015-09-02,5.1400,4.7800
2015-09-03,4.7600,4.9900
2015-09-04,4.9100,5.3400
2015-09-08,5.4200,5.7000
2015-09-09,5.7300,5.2500
2015-09-10,5.2400,5.1400
2015-09-11,5.0900,5.2700
2015-09-14,5.2500,5.3000
2015-09-15,5.3100,5.0600
2015-09-16,5.0100,5.0000
2015-09-17,5.0000,5.0600
2015-09-18,4.9700,5.0600
2015-09-21,5.1400,4.9000
2015-09-22,4.9000,4.9600
