date,open,close
2017-02-03,14.5500,13.5500
2017-02-06,13.5500,13.0000
2017-02-07,13.0000,12.8000
2017-02-08,12.6200,12.1500
2017-02-09,12.1000,11.8900
2017-02-10,11.5700,11.8900
2017-02-13,11.9000,12.1500
2017-02-14,12.0700,11.1500
2017-02-15,11.2000,11.3000
2017-02-16,11.2000,11.1000
2017-02-17,11.0000,10.9400
2017-02-21,10.8900,11.2000
2017-02-22,11.0100,10.9900
2017-02-23,10.8100,11.0200
2017-02-24,11.0000,10.9200
2017-02-27,10.8700,10.8900
2017-02-28,10.9000,10.9000
2017-03-01,10.9700,11.9100
2017-03-02,12.0000,12.4900
2017-03-03,12.5900,13.0000
2017-03-06,13.0100,12.8400
2017-03-07,12.8200,12.3300
2017-03-08,12.0400,10.6200
2017-03-09,10.4100,10.7000
2017-03-10,10.5000,10.4900
2017-03-13,10.4400,10.6000
2017-03-14,10.5200,10.5800
2017-03-15,10.5500,10.5900
2017-03-16,10.5900,10.2500
2017-03-17,10.3500,9.7800
2017-03-20,9.9000,9.0300
2017-03-21,9.0900,9.2600
2017-03-22,9.2900,8.8100
2017-03-23,8.8500,8.8600
2017-03-24,8.8100,8.7500
2017-03-27,8.6800,8.8400
2017-03-28,8.9000,10.0000
2017-03-29,9.6100,10.2700
2017-03-30,10.2700,10.4900
2017-03-31,10.4300,9.6700
2017-04-03,9.7500,9.5200
2017-04-04,9.5600,9.2400
2017-04-05,9.1300,9.3800
2017-04-06,9.4500,9.4200
2017-04-07,9.4900,9.4400
2017-04-10,9.4900,8.9100
2017-04-11,8.8600,9.0000
2017-04-12,9.0400,8.6100
2017-04-13,8.6700,8.3500
2017-04-17,8.5000,7.7300
2017-04-18,7.7200,7.5200
2017-04-19,7.5800,7.1500
2017-04-20,7.2100,7.2400
2017-04-21,7.1700,7.2300
2017-04-24,7.3000,7.5900
2017-04-25,7.6800,7.6800
2017-04-26,7.6300,7.8100
2017-04-27,7.7500,7.8500
2017-04-28,7.8500,7.7600
