date,open,close
2014-07-23,5.0000,4.2800
2014-07-24,4.2800,4.1500
2014-07-25,4.2300,4.0900
2014-07-28,4.0900,3.8900
2014-07-29,3.8300,3.7800
2014-07-30,3.6700,3.8700
2014-07-31,3.8000,3.7800
2014-08-01,3.8400,3.7500
2014-08-04,3.8000,3.6900
2014-08-05,3.6100,3.5000
2014-08-06,3.6000,3.5000
2014-08-07,3.2707,3.4400
2014-08-08,3.3500,3.3100
2014-08-11,3.5000,3.3100
2014-08-12,3.2900,3.3100
2014-08-13,3.4300,3.3500
2014-08-14,3.3900,3.4000
2014-08-15,3.3700,3.4500
2014-08-18,3.4200,3.3200
2014-08-19,3.5000,3.2100
2014-08-20,3.3750,3.0700
2014-08-21,3.0600,3.0900
2014-08-22,3.0600,3.0900
2014-08-25,3.1000,3.4500
2014-08-26,3.4900,3.4700
2014-08-27,3.5000,3.1300
2014-08-28,3.4500,3.1900
2014-08-29,3.2000,3.3800
2014-09-02,3.4000,3.3900
2014-09-03,3.4500,3.9200
2014-09-04,3.8600,3.7700
2014-09-05,3.6800,3.7900
2014-09-08,3.8700,3.9700
2014-09-09,4.0800,3.9100
2014-09-10,3.9800,3.8800
2014-09-11,3.8000,3.8300
2014-09-12,3.8300,3.7615
2014-09-15,3.6700,3.8300
2014-09-16,3.7600,3.7400
2014-09-17,3.7500,3.6100
2014-09-18,3.6600,3.6400
2014-09-19,3.6800,3.4900
2014-09-22,3.5000,3.4000
2014-09-23,3.5000,3.6200
2014-09-24,3.6300,3.6100
2014-09-25,3.7100,3.7300
2014-09-26,3.7000,3.7200
2014-09-29,3.7500,3.6900
2014-09-30,3.7100,3.5600
2014-10-01,3.6010,3.5900
2014-10-02,3.4901,3.5100
2014-10-03,3.5820,3.4600
2014-10-06,3.3700,3.2800
2014-10-07,3.4000,3.2900
2014-10-08,3.2610,3.3500
2014-10-09,3.3700,3.3000
2014-10-10,3.2100,3.2300
2014-10-13,3.2300,3.2236
2014-10-14,3.2000,3.3100
2014-10-15,3.1600,3.3400
2014-10-16,3.2100,3.3300
2014-10-17,3.3500,3.2660
2014-10-20,3.4500,3.2900
2014-10-21,3.4200,3.2500
2014-10-22,3.2700,3.3100
2014-10-23,3.2200,3.3600
2014-10-24,3.2500,3.2201
2014-10-27,3.2300,3.3000
2014-10-28,3.2500,3.1700
2014-10-29,3.2000,3.2700
2014-10-30,3.2030,3.2000
2014-10-31,3.2600,3.4390
2014-11-03,3.4895,3.3800
2014-11-04,3.4100,3.4000
2014-11-05,3.2601,3.3100
2014-11-06,3.5000,3.4500
2014-11-07,3.4100,3.3500
2014-11-10,3.3800,3.3100
2014-11-11,3.3400,3.4200
2014-11-12,3.2500,3.2500
2014-11-13,3.3000,3.3400
2014-11-14,3.3000,3.3500
2014-11-17,3.4000,3.3700
2014-11-18,3.3699,3.3100
2014-11-19,3.3500,3.2500
2014-11-20,3.2500,3.2100
2014-11-21,3.2200,3.2200
2014-11-24,3.2210,3.1000
2014-11-25,3.1000,3.0000
2014-11-26,3.0210,3.0400
2014-11-28,3.0900,3.0600
2014-12-01,3.0700,2.9100
2014-12-02,2.8700,2.9500
2014-12-03,2.8800,2.9100
2014-12-04,2.8300,2.8235
2014-12-05,2.8800,2.7300
2014-12-08,2.7500,2.6500
2014-12-09,2.8399,2.6700
2014-12-10,2.6000,2.6500
2014-12-11,2.6510,2.5900
2014-12-12,2.5700,2.3300
2014-12-15,2.2700,2.0300
2014-12-16,2.0700,2.2100
2014-12-17,2.2800,2.3300
2014-12-18,2.3500,2.3100
2014-12-19,2.4500,2.3000
2014-12-22,2.4100,2.4900
2014-12-23,2.4000,2.4900
2014-12-24,2.6420,2.4000
2014-12-26,2.4000,2.3700
2014-12-29,2.3900,2.2100
2014-12-30,2.2546,2.3200
2014-12-31,2.3500,2.3400
2015-01-02,2.4000,2.7400
2015-01-05,2.7100,2.5800
2015-01-06,2.6000,2.7300
2015-01-07,2.7600,2.8800
2015-01-08,3.0500,2.9600
2015-01-09,2.8300,2.8900
2015-01-12,2.7200,2.7300
2015-01-13,2.6900,2.7650
2015-01-14,3.0000,2.8200
2015-01-15,2.7300,2.6400
2015-01-16,2.6000,2.5500
2015-01-20,2.5001,2.5200
2015-01-21,2.2500,2.6400
2015-01-22,2.6800,2.6800
2015-01-23,2.4150,2.6500
2015-01-26,2.7099,2.6400
2015-01-27,2.7000,2.5000
2015-01-28,2.4238,2.3800
2015-01-29,2.2700,2.3700
2015-01-30,2.4200,2.4230
2015-02-02,2.4522,2.3800
2015-02-03,2.3900,2.3500
2015-02-04,2.3368,2.1900
2015-02-05,2.2010,2.3900
2015-02-06,2.3799,2.3637
2015-02-09,2.3900,2.3600
2015-02-10,2.3201,2.3300
2015-02-11,2.3500,2.3300
2015-02-12,2.3499,2.3896
2015-02-13,2.3700,2.3900
2015-02-17,2.3101,2.3100
2015-02-18,2.3900,2.3300
2015-02-19,2.3270,2.4700
2015-02-20,2.5100,2.6999
2015-02-23,2.7000,2.8800
2015-02-24,2.8500,2.9750
2015-02-25,2.9399,2.9100
2015-02-26,2.9154,2.9200
2015-02-27,2.7600,2.6400
2015-03-02,2.7000,2.5400
2015-03-03,2.5400,2.5400
2015-03-04,2.5900,2.6700
2015-03-05,2.6080,2.5700
2015-03-06,2.6660,2.7300
2015-03-09,2.7500,2.7300
2015-03-10,2.9300,2.7400
2015-03-11,2.8000,2.6400
2015-03-12,2.6910,2.5400
2015-03-13,2.5500,2.5000
2015-03-16,2.4400,2.5500
2015-03-17,2.5800,2.4500
2015-03-18,2.4600,2.4700
2015-03-19,2.4700,2.3999
2015-03-20,2.3400,2.3900
2015-03-23,2.3900,2.2800
2015-03-24,2.3200,2.5250
2015-03-25,2.6100,2.5000
2015-03-26,2.4400,2.4100
2015-03-27,2.5900,2.2100
2015-03-30,2.3900,2.1900
2015-03-31,2.1800,2.1400
2015-04-01,2.1999,2.0300
2015-04-02,2.1205,2.1100
2015-04-06,2.1100,2.1200
2015-04-07,2.1300,2.1999
2015-04-08,2.0501,2.0590
2015-04-09,2.0601,2.0500
2015-04-10,2.0600,2.0501
2015-04-13,2.0500,2.0499
2015-04-14,1.9900,1.8900
2015-04-15,1.9000,1.8900
2015-04-16,1.8499,1.9500
2015-04-17,1.9900,1.9900
2015-04-20,1.9600,2.0100
2015-04-21,1.9574,1.9400
2015-04-22,1.7600,1.8300
2015-04-23,1.8300,1.9000
2015-04-24,1.8999,1.8800
2015-04-27,1.8999,1.9100
2015-04-28,1.9390,1.9000
2015-04-29,1.9300,2.0300
2015-04-30,2.0300,2.1000
2015-05-01,2.0699,2.1500
2015-05-04,2.2000,2.2600
2015-05-05,2.0900,2.1700
2015-05-06,2.0570,2.1600
2015-05-07,2.0805,2.1100
2015-05-08,2.1100,2.1700
2015-05-11,2.1159,2.1400
2015-05-12,2.0800,2.0400
2015-05-13,2.0301,2.1499
2015-05-14,2.1500,2.1300
2015-05-15,2.0696,2.0900
2015-05-18,2.0300,2.0900
