date,open,close
2018-12-10,4.0000,3.7624
2018-12-11,3.8000,3.7550
2018-12-12,3.8430,3.6500
2018-12-13,3.2600,3.2700
2018-12-14,3.1200,3.1500
2018-12-17,3.3000,2.8000
2018-12-18,2.8000,3.0250
2018-12-19,2.7500,3.1000
2018-12-20,3.1000,3.0000
2018-12-21,2.9900,2.9766
2018-12-24,2.5100,2.8000
2018-12-26,2.5600,3.0500
2018-12-27,2.6000,2.9165
2018-12-28,2.9200,2.9000
2018-12-31,2.8400,2.8300
2019-01-02,2.7000,3.0600
2019-01-03,3.1000,3.1100
2019-01-04,3.1100,3.1700
2019-01-07,3.2000,3.3450
2019-01-08,3.4846,3.3277
2019-01-09,3.3300,3.2800
2019-01-10,3.1400,3.1600
2019-01-11,3.2000,3.1000
2019-01-14,3.0900,3.1000
2019-01-15,3.0150,3.0391
2019-01-16,3.0000,3.0750
2019-01-17,2.9800,3.1500
2019-01-18,3.0815,2.9600
2019-01-22,2.9600,3.0300
2019-01-23,2.8300,2.8800
2019-01-24,3.1400,2.8500
2019-01-25,3.1000,2.9000
2019-01-28,2.9000,2.9900
2019-01-29,2.9968,3.0000
2019-01-30,2.9010,2.8200
2019-01-31,2.8000,2.5800
2019-02-01,2.5700,2.5672
2019-02-04,2.5500,2.6700
2019-02-05,2.5400,2.5400
2019-02-06,2.5400,2.5600
2019-02-07,2.5600,2.4101
2019-02-08,2.4500,2.4000
2019-02-11,2.4100,2.4000
2019-02-12,2.5000,2.5500
2019-02-13,2.5300,2.4200
2019-02-14,2.5500,2.4200
2019-02-15,2.4900,2.4600
2019-02-19,2.7100,2.5500
2019-02-20,2.5001,2.5500
2019-02-21,2.5200,2.4000
2019-02-22,2.4100,2.4000
2019-02-25,2.4321,2.4670
2019-02-26,2.3900,2.2500
2019-02-27,2.2500,2.3000
2019-02-28,2.3000,2.2356
2019-03-01,2.3499,1.9600
2019-03-04,1.9500,1.9800
2019-03-05,1.9400,2.1600
2019-03-06,2.1500,2.0000
2019-03-07,2.0000,2.0000
2019-03-08,2.0300,2.0300
2019-03-11,2.1715,2.2000
2019-03-12,2.3000,2.2000
2019-03-13,2.1407,2.1500
2019-03-14,2.1500,2.1500
2019-03-15,2.1800,2.1100
2019-03-18,2.1200,2.0500
2019-03-19,2.1900,2.0500
2019-03-20,2.0501,2.0603
2019-03-21,2.0701,2.1100
2019-03-22,2.1100,2.1100
2019-03-25,2.0500,1.9700
2019-03-26,1.9500,1.9400
2019-03-27,2.1800,2.7100
2019-03-28,2.5000,2.3000
2019-03-29,2.3900,2.3900
2019-04-01,2.3000,2.3298
2019-04-02,2.3500,2.2400
2019-04-03,2.3100,2.1700
2019-04-04,2.2500,2.2500
2019-04-05,2.2300,2.2000
2019-04-08,2.2600,2.1800
2019-04-09,2.1500,2.1470
2019-04-10,2.1400,2.1700
2019-04-11,2.1500,2.1700
2019-04-12,2.1600,2.1400
2019-04-15,2.1500,2.4600
2019-04-16,2.4500,2.3300
2019-04-17,2.3500,2.1900
2019-04-18,2.2100,2.2300
2019-04-22,2.2100,2.2000
2019-04-23,2.1800,2.2300
2019-04-24,2.2200,2.2400
2019-04-25,2.3189,2.2700
2019-04-26,2.2500,2.3100
2019-04-29,2.3400,2.4000
2019-04-30,2.3800,2.4400
2019-05-01,2.4200,2.4500
2019-05-02,2.4582,2.4200
2019-05-03,2.4600,2.5100
2019-05-06,2.4700,2.3800
2019-05-07,2.3900,2.3800
2019-05-08,2.3115,2.4100
2019-05-09,2.3237,2.3400
2019-05-10,2.3500,2.3000
2019-05-13,2.3000,2.1500
2019-05-14,2.1200,2.1500
2019-05-15,2.1608,2.1500
2019-05-16,2.1900,2.3500
2019-05-17,2.2900,2.1000
2019-05-20,2.1100,2.0700
2019-05-21,2.1200,2.2000
2019-05-22,2.1700,2.0800
2019-05-23,2.0800,1.9600
2019-05-24,1.9500,1.9600
2019-05-28,1.9500,1.9500
2019-05-29,1.9200,2.1000
2019-05-30,2.0800,1.9900
2019-05-31,1.9800,2.0200
2019-06-03,1.9900,1.9400
2019-06-04,1.9684,1.9600
2019-06-05,1.9600,1.8900
2019-06-06,1.9100,1.8500
2019-06-07,1.8939,1.8200
2019-06-10,1.8300,1.8600
2019-06-11,1.8600,1.8400
2019-06-12,1.8300,1.8100
2019-06-13,1.8000,1.8500
2019-06-14,1.8900,1.8900
2019-06-17,1.8900,1.9500
2019-06-18,1.8500,1.8800
2019-06-19,1.8200,1.9200
2019-06-20,1.9600,1.8400
2019-06-21,1.8400,1.8300
2019-06-24,1.8400,1.8300
2019-06-25,1.8300,1.8700
2019-06-26,1.8820,1.8600
2019-06-27,1.8769,1.9000
2019-06-28,1.9300,1.9450
2019-07-01,2.0100,2.0200
2019-07-02,2.0200,1.9000
2019-07-03,2.0500,2.1000
2019-07-05,2.2200,2.3500
2019-07-08,2.4300,2.3000
2019-07-09,2.2700,2.2600
2019-07-10,2.2890,2.1000
2019-07-11,2.1000,2.3300
2019-07-12,2.3700,2.4000
2019-07-15,2.3720,2.2500
2019-07-16,2.2600,2.3200
2019-07-17,2.3000,2.3100
2019-07-18,2.3650,2.3000
2019-07-19,2.3400,2.3200
2019-07-22,2.3100,2.2800
2019-07-23,2.2800,2.3000
2019-07-24,2.2800,2.1000
2019-07-25,2.1350,2.1100
2019-07-26,2.1908,2.2000
2019-07-29,2.2200,2.2100
2019-07-30,2.2145,2.0600
2019-07-31,2.0800,2.1497
2019-08-01,2.1200,2.0300
2019-08-02,2.0100,1.9900
2019-08-05,1.9600,1.9600
2019-08-06,1.9800,1.9300
2019-08-07,1.9200,1.8900
2019-08-08,1.9000,1.8900
2019-08-09,1.8700,1.8300
2019-08-12,1.8500,1.8500
2019-08-13,1.8610,1.8650
2019-08-14,1.8400,1.8100
2019-08-15,1.8000,1.8100
2019-08-16,1.8100,1.9300
2019-08-19,1.9400,1.9600
2019-08-20,2.0150,2.0000
2019-08-21,2.0301,2.0300
2019-08-22,2.0472,2.0100
2019-08-23,2.0200,1.9900
2019-08-26,1.9598,1.9500
2019-08-27,1.9800,2.0600
2019-08-28,2.0400,2.1300
2019-08-29,2.0600,2.0600
2019-08-30,2.0600,2.0000
2019-09-03,1.9800,1.9100
2019-09-04,1.9100,1.8300
2019-09-05,1.9100,1.8300
2019-09-06,1.8300,1.8600
2019-09-09,1.8700,2.0000
2019-09-10,1.9900,2.0600
2019-09-11,2.0700,2.1350
2019-09-12,2.1200,2.0900
2019-09-13,2.0750,2.0400
2019-09-16,2.0100,2.0500
2019-09-17,2.0400,2.1000
2019-09-18,2.0900,2.0000
2019-09-19,1.9900,2.1400
2019-09-20,2.1600,2.1300
2019-09-23,2.1100,2.0600
2019-09-24,2.0600,2.0000
2019-09-25,1.9973,2.0000
2019-09-26,1.9700,1.9900
2019-09-27,1.9800,1.9800
2019-09-30,2.0000,1.9900
2019-10-01,1.9900,1.9800
2019-10-02,1.9800,1.8500
2019-10-03,1.8900,1.9600
2019-10-04,1.9500,1.9400
2019-10-07,1.9200,1.9400
2019-10-08,1.9400,2.0000
2019-10-09,2.0000,2.0100
2019-10-10,2.0400,2.0800
2019-10-11,2.1200,2.0500
2019-10-14,2.0700,2.0600
2019-10-15,2.0500,2.0500
2019-10-16,2.0600,2.1000
2019-10-17,2.1000,2.0700
2019-10-18,2.0600,2.0200
2019-10-21,2.0200,1.9800
2019-10-22,1.9700,1.9500
2019-10-23,1.9400,2.0600
2019-10-24,2.0600,2.0300
2019-10-25,2.0200,2.0900
2019-10-28,2.0800,2.0500
2019-10-29,2.0200,2.0500
2019-10-30,2.0800,2.0150
2019-10-31,2.0100,1.9900
2019-11-01,2.1502,2.0132
2019-11-04,2.0100,2.0000
2019-11-05,2.0000,1.9900
2019-11-06,1.9800,1.9700
2019-11-07,1.9900,1.9400
2019-11-08,1.9200,1.9000
2019-11-11,1.9300,1.9300
2019-11-12,1.9100,1.9000
2019-11-13,1.8800,1.8900
2019-11-14,1.8700,1.8400
2019-11-15,1.8800,1.9101
2019-11-18,1.9000,1.8000
2019-11-19,1.8300,1.6800
2019-11-20,1.7300,1.6100
2019-11-21,1.6300,1.5981
2019-11-22,1.6500,1.6300
2019-11-25,1.6200,1.6100
2019-11-26,1.6300,1.6100
2019-11-27,1.6000,1.6300
2019-11-29,1.6310,1.7365
2019-12-02,1.7400,1.6600
2019-12-03,1.6300,1.6400
2019-12-04,1.6600,1.6200
2019-12-05,1.6500,1.5800
2019-12-06,1.6200,1.6200
2019-12-09,1.6000,1.6200
2019-12-10,1.6400,1.6100
2019-12-11,1.6100,1.5900
2019-12-12,1.5900,1.6200
