date,open,close
2001-08-09,8.7100,8.7600
2001-08-10,8.9000,8.4600
2001-08-13,8.5400,8.4000
2001-08-14,8.4000,8.5000
2001-08-15,8.4900,8.3000
2001-08-16,8.3500,8.4500
2001-08-17,8.4700,8.3500
2001-08-20,8.3500,8.3500
2001-08-21,8.4850,8.2000
2001-08-22,8.2500,8.3000
2001-08-23,8.3000,8.2200
2001-08-24,8.3500,8.2200
2001-08-27,8.1500,8.2000
2001-08-28,8.1500,8.1900
2001-08-29,8.2200,8.2700
2001-08-30,8.5300,8.5300
2001-08-31,8.0800,9.1800
2001-09-04,9.1000,8.5710
2001-09-05,8.4000,9.1910
2001-09-06,9.3350,9.7000
2001-09-07,9.4500,9.6700
2001-09-10,9.9000,9.6400
2001-09-17,9.5600,9.2200
2001-09-18,9.5000,8.5000
2001-09-19,8.6000,8.1500
2001-09-20,8.1500,6.8800
2001-09-21,7.0000,5.6000
2001-09-24,5.6000,5.6000
2001-09-25,5.6000,5.6000
2001-09-26,6.1850,6.0000
2001-09-27,6.1000,6.1000
2001-09-28,6.2000,7.5000
2001-10-01,7.4000,7.3000
2001-10-02,7.3000,7.3000
2001-10-03,7.8200,7.7000
2001-10-04,8.4500,8.1000
2001-10-05,8.3000,8.1000
2001-10-08,8.3000,8.2500
2001-10-09,8.2500,9.0400
2001-10-10,9.0700,9.0300
2001-10-11,9.0700,8.8600
2001-10-12,8.9000,8.8600
2001-10-15,9.0000,8.2200
2001-10-16,8.6500,7.9200
2001-10-17,8.1000,8.0200
2001-10-18,8.1000,8.0000
2001-10-19,8.0900,7.9500
2001-10-22,8.1500,8.0500
2001-10-23,8.0000,8.0600
2001-10-24,8.1500,8.0200
2001-10-25,8.0050,8.0300
2001-10-26,8.0000,8.1000
2001-10-29,8.1200,8.1200
2001-10-30,8.3500,8.0500
2001-10-31,8.3000,7.9500
2001-11-01,8.1500,8.0000
2001-11-02,8.1300,7.8600
2001-11-05,8.3000,8.0800
2001-11-06,8.1300,7.9000
2001-11-07,8.1000,8.0400
2001-11-08,8.0400,8.0300
2001-11-09,7.9400,8.0000
2001-11-12,7.9000,8.3800
2001-11-13,8.3800,8.0000
2001-11-14,8.2000,8.2500
2001-11-15,8.1500,8.1000
2001-11-16,8.1500,7.8500
2001-11-19,8.2700,8.8000
2001-11-20,8.8300,8.5000
2001-11-21,8.6500,7.7000
2001-11-23,8.4000,7.8000
2001-11-26,7.6800,8.1500
2001-11-27,8.1500,7.9000
2001-11-28,8.2000,8.1800
2001-11-29,8.2900,8.6000
2001-11-30,8.5000,8.7700
2001-12-03,8.9900,8.7000
2001-12-04,8.7150,9.3000
2001-12-05,9.3500,10.5000
2001-12-06,10.5000,10.1000
2001-12-07,10.1500,9.5400
2001-12-10,9.5100,9.3000
2001-12-11,9.3500,9.1000
2001-12-12,9.1000,8.3100
2001-12-13,8.3600,8.2000
2001-12-14,8.3400,8.0000
2001-12-17,8.0600,7.7200
2001-12-18,7.8000,7.6500
2001-12-19,7.5000,7.5000
2001-12-20,7.3000,7.6500
2001-12-21,7.8900,7.6000
2001-12-24,7.6000,7.6000
2001-12-26,7.8500,8.7000
2001-12-27,8.7000,8.1100
2001-12-28,8.3350,8.8500
2001-12-31,8.9100,8.9000
2002-01-02,9.0000,9.0500
2002-01-03,9.2000,8.8500
2002-01-04,9.1000,7.9000
2002-01-07,7.9000,8.1000
2002-01-08,8.0000,8.2500
2002-01-09,8.2500,8.5000
2002-01-10,8.2100,8.2100
2002-01-11,8.5000,8.7100
2002-01-14,8.3000,8.8000
2002-01-15,8.6000,8.3900
2002-01-16,8.3200,8.0700
2002-01-17,8.1500,8.1100
2002-01-18,8.1100,7.4900
2002-01-22,7.7000,7.8000
2002-01-23,7.6000,7.6000
2002-01-24,7.7000,7.4000
2002-01-25,7.4300,7.4000
2002-01-28,7.4000,8.2000
2002-01-29,8.1900,8.1000
2002-01-30,8.4000,7.5500
2002-01-31,7.8000,7.8700
2002-02-01,7.9900,7.6500
2002-02-04,7.5000,6.5000
2002-02-05,6.6500,7.1600
