date,open,close
2016-12-07,7.5500,9.0000
2016-12-08,9.5900,8.6000
2016-12-09,8.7500,8.8700
2016-12-12,8.9300,8.1800
2016-12-13,8.1700,7.9300
2016-12-14,8.1000,8.7200
2016-12-15,8.8700,9.0200
2016-12-16,9.0900,9.1500
2016-12-19,9.0700,9.3500
2016-12-20,9.3500,10.0300
2016-12-21,10.0200,10.3000
2016-12-22,10.1500,10.1100
2016-12-23,10.2000,10.0400
2016-12-27,10.0900,9.7300
2016-12-28,9.5000,8.7300
2016-12-29,8.8800,8.9400
2016-12-30,9.0000,8.9500
2017-01-03,9.1000,8.6000
2017-01-04,8.5000,8.3700
2017-01-05,8.4900,8.3600
2017-01-06,8.4000,8.4000
2017-01-09,8.6000,8.3300
2017-01-10,8.4000,8.2900
2017-01-11,8.2685,8.1900
2017-01-12,8.2700,7.9600
2017-01-13,7.6300,8.1800
2017-01-17,8.2000,7.9600
2017-01-18,7.9600,7.7100
2017-01-19,7.6900,8.1200
2017-01-20,8.2500,8.1800
2017-01-23,8.1800,8.1800
2017-01-24,8.1800,8.1700
2017-01-25,8.1122,8.1700
2017-01-26,8.2500,8.3500
2017-01-27,8.2631,8.1200
2017-01-30,8.2000,8.2200
2017-01-31,8.2600,8.3000
2017-02-01,8.3000,8.1300
2017-02-02,8.0999,7.8200
2017-02-03,7.8000,7.8900
2017-02-06,8.0000,7.9499
2017-02-07,7.9500,7.9500
2017-02-08,7.8355,7.9000
2017-02-09,7.9200,8.2500
2017-02-10,8.2500,8.4200
2017-02-13,8.6000,8.9500
2017-02-14,9.3800,8.7600
2017-02-15,8.8300,8.9200
2017-02-16,8.9500,9.1500
2017-02-17,9.0500,8.9100
2017-02-21,8.9500,8.9100
2017-02-22,8.9053,8.8200
2017-02-23,9.0400,9.0100
2017-02-24,9.0500,9.0700
2017-02-27,9.0500,9.0300
2017-02-28,9.0000,8.7200
2017-03-01,8.8333,8.8000
2017-03-02,8.6300,8.1600
2017-03-03,7.9000,8.7399
2017-03-06,10.9500,9.2300
2017-03-07,9.2700,9.1500
2017-03-08,9.1500,9.0900
2017-03-09,9.1100,8.9300
2017-03-10,8.9500,8.8973
2017-03-13,8.9400,9.3000
2017-03-14,9.3600,9.0500
2017-03-15,8.9900,8.4900
2017-03-16,8.5000,8.1100
2017-03-17,8.0800,7.6400
2017-03-20,7.7000,8.0000
2017-03-21,8.1600,8.1600
2017-03-22,8.1300,8.1000
2017-03-23,8.0500,7.9700
2017-03-24,7.9500,8.1300
2017-03-27,8.1100,8.2200
2017-03-28,8.1700,8.1800
2017-03-29,8.1200,8.0800
2017-03-30,8.0200,8.0600
2017-03-31,8.0600,8.3000
2017-04-03,8.2600,8.5800
2017-04-04,8.6300,8.8900
2017-04-05,8.8000,8.9300
2017-04-06,8.8696,8.9300
2017-04-07,8.9000,9.1100
2017-04-10,9.1800,8.7700
2017-04-11,8.7600,8.8000
2017-04-12,8.7500,8.2900
2017-04-13,8.3400,8.1000
2017-04-17,7.9900,7.8600
2017-04-18,7.8300,7.8100
2017-04-19,7.8700,7.3500
2017-04-20,7.4800,7.6500
2017-04-21,7.5900,7.5400
2017-04-24,7.5600,7.3400
2017-04-25,7.2700,6.4000
2017-04-26,6.5600,5.7900
2017-04-27,5.6500,5.6000
2017-04-28,4.9100,5.3300
2017-05-01,5.4000,5.8500
2017-05-02,5.8400,5.6800
2017-05-03,5.6300,5.8400
2017-05-04,5.8000,5.4800
