date,open,close
2012-11-08,1.5000,1.5000
2012-11-09,1.5000,1.5000
2012-11-12,1.5000,1.5000
2012-11-13,1.5000,1.5000
2012-11-14,2.0000,2.0100
2012-11-15,2.0100,2.0100
2012-11-16,2.0100,2.0100
2012-11-19,2.0100,2.0100
2012-11-20,2.0100,2.0100
2012-11-21,2.0100,2.0100
2012-11-23,2.0100,2.0100
2012-11-26,2.0100,2.0100
2012-11-27,2.0100,2.0100
2012-11-28,2.0100,2.0100
2012-11-29,2.0100,2.0100
2012-11-30,2.0100,2.0100
2012-12-03,4.7000,4.7000
2012-12-04,4.7000,4.7000
2012-12-05,4.7000,4.7000
2012-12-06,4.7000,4.7000
2012-12-07,4.7000,4.7000
2012-12-10,4.7000,4.7000
2012-12-11,4.7000,4.7000
2012-12-12,2.5000,2.5000
2012-12-13,2.5000,2.5000
2012-12-14,2.5000,2.5000
2012-12-17,7.6900,7.6900
2012-12-18,6.9900,5.1500
2012-12-19,5.0000,5.0000
2012-12-20,5.0000,4.5000
2012-12-21,4.0000,4.1100
2012-12-24,4.1000,4.0000
2012-12-26,3.7500,4.0000
2012-12-27,3.5000,3.1000
2012-12-28,3.0100,2.9000
2012-12-31,3.2500,3.3500
2013-01-02,3.4000,3.2000
2013-01-03,3.1000,3.1000
2013-01-04,3.3500,3.3500
2013-01-07,3.7000,3.7000
2013-01-08,4.0000,3.9500
2013-01-09,4.0000,5.1000
2013-01-10,5.1000,5.1000
2013-01-11,3.7500,4.0000
2013-01-14,3.9500,3.7000
2013-01-15,3.9000,3.7000
2013-01-16,3.7500,3.6000
2013-01-17,3.7500,4.0200
2013-01-18,4.0500,4.0500
2013-01-22,4.2500,4.0000
2013-01-23,4.1000,4.9000
2013-01-24,4.1700,3.9100
2013-01-25,3.9100,4.0000
2013-01-28,3.9500,3.9000
2013-01-29,4.0000,3.9000
2013-01-30,3.9000,3.8500
2013-01-31,3.6000,4.5000
2013-02-01,4.0000,3.7000
2013-02-04,3.7000,3.7000
2013-02-05,3.7500,3.7000
2013-02-06,3.7000,3.6000
2013-02-07,3.5100,3.5000
2013-02-08,3.5000,3.4000
2013-02-11,3.3600,3.2000
2013-02-12,3.5000,3.5000
2013-02-13,3.4000,4.1000
2013-02-14,3.7500,3.7500
2013-02-15,4.0000,4.2000
2013-02-19,4.0000,4.4000
2013-02-20,4.2500,4.2000
2013-02-21,4.2000,5.2500
2013-02-22,5.0000,4.8500
2013-02-25,4.7300,4.7300
2013-02-26,4.5000,4.7000
2013-02-27,4.6500,4.6500
2013-02-28,4.4000,4.4000
2013-03-01,4.4000,4.4000
2013-03-04,3.5500,4.6000
2013-03-05,4.6000,4.2500
2013-03-06,4.2500,4.3900
2013-03-07,4.3800,4.3800
2013-03-08,4.3800,5.4000
2013-03-11,5.2000,4.5000
2013-03-12,4.6500,4.3500
2013-03-13,4.9000,4.9000
2013-03-14,5.3000,4.7500
2013-03-15,4.6500,4.7500
2013-03-18,4.7500,5.3000
2013-03-19,5.2000,5.4500
2013-03-20,5.2000,5.6000
2013-03-21,5.3000,5.6900
2013-03-22,5.6500,5.7500
2013-03-25,5.4000,5.4000
2013-03-26,5.0000,5.0000
2013-03-27,5.1000,5.6000
2013-03-28,5.5000,5.5000
2013-04-01,5.3500,5.2500
2013-04-02,5.0000,5.2500
2013-04-03,5.0000,5.1500
2013-04-04,5.1500,5.1500
2013-04-05,4.7500,5.2500
2013-04-08,5.5000,5.5000
2013-04-09,5.4500,5.4500
2013-04-10,5.2500,5.8500
2013-04-11,5.6500,5.5000
2013-04-12,5.2000,6.0000
2013-04-15,6.0000,6.2500
2013-04-16,6.2500,6.5000
2013-04-17,6.5000,6.6000
2013-04-18,6.5500,6.6000
2013-04-19,6.6500,7.0000
2013-04-22,8.0000,7.2500
2013-04-23,7.4000,7.4500
2013-04-24,7.2500,7.4500
2013-04-25,7.4500,7.3600
2013-04-26,7.4000,7.4500
2013-04-29,7.4500,7.4000
2013-04-30,7.4000,7.4000
2013-05-01,7.3000,7.3000
2013-05-02,7.3000,7.4000
2013-05-03,7.7500,8.2500
2013-05-06,8.2500,8.2500
2013-05-07,8.5000,8.5000
2013-05-08,8.5000,8.4000
2013-05-09,8.2500,8.5000
