date,open,close
2017-06-22,4.7500,4.9200
2017-06-23,4.8900,4.9500
2017-06-26,5.1000,4.8500
2017-06-27,4.8200,4.8000
2017-06-28,4.8000,4.9000
2017-06-29,4.9000,4.4200
2017-06-30,4.6000,4.7000
2017-07-03,4.6500,4.6700
2017-07-05,4.6000,4.7900
2017-07-06,5.0000,4.7800
2017-07-07,4.7200,4.8700
2017-07-10,4.9500,5.0400
2017-07-11,4.9900,5.0500
2017-07-12,4.9900,4.9500
2017-07-13,4.9000,4.8400
2017-07-14,4.8100,4.7600
2017-07-17,4.8000,4.8500
2017-07-18,4.8600,4.5000
2017-07-19,4.5100,4.3500
2017-07-20,4.3700,4.2100
2017-07-21,4.2500,4.3600
2017-07-24,4.3200,4.4000
2017-07-25,4.3300,4.2500
2017-07-26,4.1900,3.8200
2017-07-27,3.9000,4.0200
2017-07-28,4.1000,3.7500
2017-07-31,3.8400,3.9000
2017-08-01,3.8600,3.8000
2017-08-02,3.8000,3.8600
2017-08-03,3.8000,3.8200
2017-08-04,3.9600,4.0500
2017-08-07,4.1000,3.9500
2017-08-08,3.9000,4.1500
2017-08-09,4.0945,4.5000
2017-08-10,4.4900,4.3800
2017-08-11,3.9700,4.0200
2017-08-14,4.0900,4.4100
2017-08-15,4.4400,4.4000
2017-08-16,4.3900,4.1700
2017-08-17,4.1200,3.9900
2017-08-18,3.9900,3.9500
2017-08-21,3.9000,3.8500
2017-08-22,3.8600,3.9400
2017-08-23,3.9430,3.9400
2017-08-24,3.9000,3.8900
2017-08-25,3.8500,3.8100
2017-08-28,3.8500,3.8000
2017-08-29,3.8400,3.8500
2017-08-30,3.8476,3.8500
2017-08-31,3.8500,3.8500
2017-09-01,3.8190,3.8100
2017-09-05,3.8200,4.0000
2017-09-06,3.8600,4.1900
2017-09-07,4.2000,4.3500
2017-09-08,4.5600,4.7800
2017-09-11,4.5000,4.7400
2017-09-12,4.7700,4.9700
2017-09-13,4.9900,4.9700
2017-09-14,4.9300,4.9400
2017-09-15,4.7824,4.4900
2017-09-18,4.4900,4.6500
2017-09-19,4.6800,4.5500
2017-09-20,4.6000,4.7000
2017-09-21,4.7000,4.7000
2017-09-22,4.8600,4.9000
2017-09-25,4.9900,4.7200
2017-09-26,4.7014,4.6000
2017-09-27,4.6700,4.4900
2017-09-28,4.3700,4.3200
2017-09-29,4.3600,4.2800
2017-10-02,4.3000,4.3000
2017-10-03,4.6000,5.2800
2017-10-04,5.4000,5.6000
2017-10-05,5.6000,5.6000
2017-10-06,5.5000,5.4000
2017-10-09,5.2855,5.4400
2017-10-10,5.7000,5.4000
2017-10-11,5.3900,5.1600
2017-10-12,5.1100,5.3800
2017-10-13,5.4000,5.3400
2017-10-16,5.4700,5.4300
2017-10-17,5.7000,5.6500
2017-10-18,5.6960,6.1800
2017-10-19,6.1800,5.8900
2017-10-20,5.9900,5.9328
2017-10-23,6.0100,6.0000
2017-10-24,6.1000,6.3700
2017-10-25,6.3400,6.0270
2017-10-26,6.0800,6.0000
2017-10-27,5.9300,5.9700
2017-10-30,5.9000,5.8200
2017-10-31,5.8083,5.6100
2017-11-01,5.6000,5.2600
2017-11-02,5.2000,5.5700
2017-11-03,5.5700,5.6200
2017-11-06,5.5800,5.6000
2017-11-07,5.6000,5.6000
2017-11-08,5.5600,5.6000
2017-11-09,5.4500,5.5800
2017-11-10,5.5300,5.6000
2017-11-13,5.5600,5.4400
2017-11-14,5.2500,5.3700
2017-11-15,5.2110,5.2200
2017-11-16,5.2150,5.2100
2017-11-17,5.2200,5.2200
2017-11-20,5.2361,5.0800
2017-11-21,5.0600,5.3500
2017-11-22,5.4000,5.2400
2017-11-24,5.3400,5.2900
2017-11-27,5.2500,5.1100
2017-11-28,5.1000,5.1100
2017-11-29,5.0600,4.8700
2017-11-30,5.0500,5.0900
2017-12-01,4.9761,5.0300
2017-12-04,5.0400,5.1800
2017-12-05,5.1700,5.1900
2017-12-06,5.2200,5.2300
2017-12-07,5.2200,5.2300
2017-12-08,5.2300,5.1100
2017-12-11,5.0986,4.9900
2017-12-12,5.0100,5.0600
2017-12-13,5.0501,4.8054
2017-12-14,4.8000,5.5000
2017-12-15,5.3100,5.4500
2017-12-18,5.3900,5.7600
2017-12-19,5.7500,5.7700
2017-12-20,5.7500,5.9600
2017-12-21,6.0600,6.0500
2017-12-22,6.0500,5.9500
2017-12-26,5.9000,5.8100
2017-12-27,5.7047,5.4000
2017-12-28,5.3500,5.7400
2017-12-29,5.5600,5.9800
2018-01-02,6.0000,5.8600
2018-01-03,5.9428,6.2000
2018-01-04,6.2000,6.2000
2018-01-05,6.1500,6.0700
2018-01-08,6.0900,5.9000
2018-01-09,5.9010,5.5500
2018-01-10,5.5300,5.5000
2018-01-11,5.5300,5.4000
2018-01-12,5.4001,5.4000
2018-01-16,5.4500,5.3400
2018-01-17,5.4100,5.3700
2018-01-18,5.3773,5.3000
2018-01-19,5.2800,5.2800
2018-01-22,5.3500,5.2800
2018-01-23,5.2800,5.1700
2018-01-24,5.1804,4.7000
2018-01-25,4.7400,4.5700
2018-01-26,4.6500,4.8400
2018-01-29,4.8600,4.6900
2018-01-30,4.7496,4.6000
2018-01-31,4.6002,4.5100
2018-02-01,4.5200,4.3650
2018-02-02,4.3600,4.5200
2018-02-05,4.6100,4.4700
2018-02-06,4.4500,4.5200
2018-02-07,4.4900,4.9500
2018-02-08,5.0000,4.8100
2018-02-09,4.8497,5.3725
2018-02-12,5.4300,5.3900
2018-02-13,5.4697,5.2000
2018-02-14,5.1660,4.9400
2018-02-15,4.9500,4.7400
2018-02-16,4.7100,4.8400
2018-02-20,4.8700,4.6900
2018-02-21,4.7500,4.3500
2018-02-22,4.3700,4.0100
2018-02-23,4.2100,4.3500
2018-02-26,4.3800,4.3600
2018-02-27,4.3300,4.3800
2018-02-28,4.4000,4.0100
2018-03-01,4.0400,3.7800
2018-03-02,4.0800,3.9699
2018-03-05,3.9432,4.1500
2018-03-06,4.1400,4.3700
2018-03-07,4.3200,4.5100
2018-03-08,4.5500,4.4700
2018-03-09,4.4700,4.4800
2018-03-12,4.5000,4.4500
2018-03-13,4.4400,4.4300
2018-03-14,4.4100,4.2800
2018-03-15,4.3300,4.5200
2018-03-16,4.5800,4.7400
2018-03-19,4.7200,4.4000
2018-03-20,4.5500,4.4100
2018-03-21,4.4239,4.4900
2018-03-22,4.4112,4.3654
2018-03-23,4.3000,4.5300
2018-03-26,4.5500,4.4700
2018-03-27,4.4600,4.5465
2018-03-28,4.5500,4.5990
2018-03-29,4.4610,4.6067
2018-04-02,4.6500,4.4600
2018-04-03,4.4800,4.5400
2018-04-04,4.5400,4.4952
2018-04-05,4.4900,4.6300
