date,open,close
2016-12-08,8.2500,8.1600
2016-12-09,8.0500,8.0000
2016-12-12,8.3000,8.0000
2016-12-13,8.0000,8.0000
2016-12-14,8.0500,8.0000
2016-12-15,8.2200,8.0000
2016-12-16,8.1500,8.0000
2016-12-19,8.1500,8.1000
2016-12-20,8.1500,8.1379
2016-12-21,8.0800,8.0400
2016-12-22,8.0000,8.0172
2016-12-23,8.1000,8.1900
2016-12-27,8.9800,8.2500
2016-12-28,8.4700,8.0000
2016-12-29,8.1300,8.1500
2016-12-30,8.2000,8.1500
2017-01-03,8.4500,8.0200
2017-01-04,8.4800,8.2300
2017-01-05,8.2900,8.2400
2017-01-06,8.4399,8.1600
2017-01-09,8.0500,7.8300
2017-01-10,8.2100,7.8900
2017-01-11,8.0100,8.1000
2017-01-12,8.2000,8.0700
2017-01-13,8.1400,9.3800
2017-01-17,10.1200,9.7500
2017-01-18,9.7500,9.8700
2017-01-19,9.8500,9.4000
2017-01-20,9.2500,8.8150
2017-01-23,7.8000,7.5000
2017-01-24,7.9400,7.3800
2017-01-25,7.7800,7.2200
2017-01-26,7.4200,7.1300
2017-01-27,7.4800,7.4900
2017-01-30,7.4297,7.5600
2017-01-31,7.8900,7.7400
2017-02-01,8.9900,8.1450
2017-02-02,8.4900,8.3000
2017-02-03,8.9900,8.5000
2017-02-06,8.8900,8.4600
2017-02-07,8.6000,8.6000
2017-02-08,8.5100,8.5700
2017-02-09,8.6700,8.4500
2017-02-10,8.4900,8.4900
2017-02-13,8.5500,8.3500
2017-02-14,9.1100,8.1500
2017-02-15,8.3300,8.1500
2017-02-16,8.3700,8.0000
2017-02-17,8.4300,8.0600
2017-02-21,8.1700,8.1000
2017-02-22,8.4000,8.1700
2017-02-23,8.2150,8.0800
2017-02-24,8.2900,8.1100
2017-02-27,8.2100,8.1200
2017-02-28,8.1190,8.1100
2017-03-01,8.1900,8.3900
2017-03-02,8.2800,8.2600
2017-03-03,9.0000,8.5000
2017-03-06,8.5100,8.8700
2017-03-07,8.9900,8.5600
2017-03-08,9.5494,8.5000
2017-03-09,8.8000,8.3200
2017-03-10,8.5000,8.4400
2017-03-13,8.9200,8.7000
2017-03-14,8.8600,9.1800
2017-03-15,9.2100,9.0100
2017-03-16,9.0729,8.8600
2017-03-17,9.0500,8.3000
2017-03-20,8.4000,8.4900
2017-03-21,8.6700,8.2600
2017-03-22,8.3200,8.0400
2017-03-23,8.1000,8.4700
2017-03-24,8.4200,8.2800
2017-03-27,8.1600,8.3500
2017-03-28,8.3000,8.2000
2017-03-29,8.0400,8.2000
2017-03-30,8.1300,8.0100
2017-03-31,8.5000,7.9100
2017-04-03,7.8500,8.0000
2017-04-04,8.1000,7.9800
2017-04-05,7.9900,7.9900
2017-04-06,7.8800,7.9200
2017-04-07,7.8850,7.9900
2017-04-10,8.1400,7.8500
2017-04-11,8.1300,7.9500
2017-04-12,8.2335,8.0800
2017-04-13,8.0000,8.0000
2017-04-17,8.2000,8.0500
2017-04-18,8.1800,8.0000
2017-04-19,8.0000,7.7000
2017-04-20,7.8000,7.6400
2017-04-21,7.7500,7.6400
2017-04-24,7.6300,7.5321
2017-04-25,7.9999,7.6600
2017-04-26,7.4569,7.3700
2017-04-27,7.4600,7.2900
2017-04-28,7.1500,7.1500
2017-05-01,7.2300,7.0700
2017-05-02,6.9800,6.8200
2017-05-03,6.8200,6.5100
2017-05-04,6.5100,6.5800
2017-05-05,6.5900,7.4000
2017-05-08,7.0400,6.7800
2017-05-09,6.7500,6.6400
2017-05-10,7.2400,6.9800
2017-05-11,6.9800,6.8900
2017-05-12,7.2500,7.3700
2017-05-15,7.3800,7.7500
2017-05-16,7.7500,7.9900
2017-05-17,7.7057,7.0800
2017-05-18,7.3900,6.8300
2017-05-19,7.0900,6.9900
2017-05-22,7.0900,7.0400
2017-05-23,6.8613,6.9600
2017-05-24,6.9000,7.0500
2017-05-25,7.0217,6.8400
2017-05-26,6.8400,6.5100
2017-05-30,6.7900,6.0200
2017-05-31,6.2300,6.1000
2017-06-01,6.6400,6.0700
2017-06-02,6.1000,5.9100
2017-06-05,5.9900,5.0000
2017-06-06,5.0100,4.8800
2017-06-07,4.8843,5.5000
2017-06-08,5.7500,5.6100
2017-06-09,5.9697,5.7000
2017-06-12,5.8500,6.1800
2017-06-13,6.5000,6.2100
2017-06-14,6.2400,5.9900
2017-06-15,5.9000,5.6450
2017-06-16,5.6200,6.1900
2017-06-19,6.2500,5.9960
2017-06-20,6.4000,6.0000
2017-06-21,6.0700,5.9500
2017-06-22,6.0950,6.0500
2017-06-23,6.1100,6.3400
2017-06-26,6.4000,6.0500
2017-06-27,6.1900,6.1119
2017-06-28,6.0100,5.8600
2017-06-29,5.9000,5.8800
2017-06-30,5.9000,5.7000
2017-07-03,5.9600,5.5975
2017-07-05,5.6900,5.2200
2017-07-06,5.1700,5.1100
2017-07-07,5.1200,5.4000
2017-07-10,5.7500,5.5100
2017-07-11,5.6916,5.3300
2017-07-12,5.3500,5.3700
2017-07-13,5.3000,5.0750
2017-07-14,5.3300,5.1200
2017-07-17,5.1500,4.9500
2017-07-18,5.0500,4.4600
2017-07-19,4.5000,4.1600
