date,open,close
2015-04-29,8.5000,8.9600
2015-04-30,9.3200,8.8000
2015-05-01,8.9800,9.1000
2015-05-04,9.0500,9.4900
2015-05-05,9.4800,9.5000
2015-05-06,9.8300,9.7000
2015-05-07,9.4100,9.1500
2015-05-08,9.4000,9.3900
2015-05-11,9.2100,9.3900
2015-05-12,9.2000,9.0000
2015-05-13,8.7300,8.9700
2015-05-14,8.7600,9.3700
2015-05-15,9.8300,9.4200
2015-05-18,9.3100,9.0800
2015-05-19,8.8100,8.9600
2015-05-20,8.7012,9.0100
2015-05-21,8.6800,9.1300
2015-05-22,9.0900,9.0600
2015-05-26,8.7800,8.4800
2015-05-27,8.3900,8.3700
2015-05-28,8.4700,8.2200
2015-05-29,8.3600,8.2300
2015-06-01,8.2800,7.5800
2015-06-02,7.7000,7.8300
2015-06-03,7.8500,7.8700
2015-06-04,7.8400,7.9400
2015-06-05,7.9700,7.8900
2015-06-08,7.7600,8.0200
2015-06-09,7.9500,7.8100
2015-06-10,7.9100,7.8000
2015-06-11,7.8900,7.8600
2015-06-12,7.8500,7.6700
2015-06-15,7.6000,7.6800
2015-06-16,7.6500,7.2800
2015-06-17,7.3100,7.3600
2015-06-18,7.3650,7.5200
2015-06-19,7.9000,6.7300
2015-06-22,6.9500,7.2500
2015-06-23,7.2100,7.4200
2015-06-24,7.3500,7.2500
2015-06-25,7.2200,7.0900
2015-06-26,7.3049,7.0800
2015-06-29,7.2200,7.0600
2015-06-30,7.3000,7.1400
2015-07-01,7.0800,6.9300
2015-07-02,7.2000,7.1300
2015-07-06,7.1800,7.0800
2015-07-07,6.8200,6.8800
2015-07-08,6.9900,7.1400
2015-07-09,7.0000,7.0500
2015-07-10,7.1200,6.9500
2015-07-13,7.3200,6.9500
2015-07-14,6.6000,7.0500
2015-07-15,7.2100,7.2800
2015-07-16,7.3000,6.9500
2015-07-17,6.9100,7.0700
2015-07-20,7.1000,6.6400
2015-07-21,7.0000,6.7600
2015-07-22,6.5200,6.4600
2015-07-23,6.9500,6.0200
2015-07-24,6.0700,6.5700
2015-07-27,6.5800,6.4000
2015-07-28,6.1200,6.3200
2015-07-29,5.9000,6.4700
2015-07-30,6.7000,6.4200
2015-07-31,6.4900,6.0900
2015-08-03,6.6900,6.5350
2015-08-04,6.3700,5.9000
2015-08-05,6.2000,6.1000
2015-08-06,6.1900,5.8900
2015-08-07,5.8500,6.4500
2015-08-10,6.3700,6.1400
2015-08-11,6.2200,6.4500
2015-08-12,6.2600,6.2000
2015-08-13,6.3800,7.3100
2015-08-14,7.1200,7.2700
2015-08-17,7.3800,7.7300
2015-08-18,7.7000,7.3200
2015-08-19,7.3800,7.1400
2015-08-20,7.1300,6.9900
2015-08-21,6.8700,6.1700
2015-08-24,6.0000,6.5000
2015-08-25,7.3500,6.7900
2015-08-26,6.9000,6.1000
2015-08-27,5.9200,6.1400
2015-08-28,6.0700,6.2900
2015-08-31,6.2600,6.1500
2015-09-01,6.1400,6.2600
2015-09-02,6.7600,6.0600
2015-09-03,5.7800,6.5100
2015-09-04,6.2000,6.3000
2015-09-08,6.4600,6.4500
2015-09-09,6.4600,6.1100
2015-09-10,6.1700,5.9900
2015-09-11,5.8200,6.2500
2015-09-14,6.1200,6.2500
2015-09-15,6.1400,5.9000
2015-09-16,5.7500,5.8300
2015-09-17,5.7200,5.9500
2015-09-18,5.5000,5.7800
2015-09-21,5.5200,5.5300
2015-09-22,5.5600,5.6100
2015-09-23,6.0000,5.5400
2015-09-24,5.5900,5.5700
2015-09-25,5.4400,5.8900
2015-09-28,5.3800,5.5000
2015-09-29,5.6450,5.7800
2015-09-30,5.6000,5.8595
2015-10-01,5.8000,5.6406
2015-10-02,5.3900,5.5600
2015-10-05,5.6300,5.2900
2015-10-06,5.2184,5.6700
2015-10-07,5.4950,5.3100
2015-10-08,5.3200,6.8000
2015-10-09,6.9500,6.5000
2015-10-12,6.6450,6.8700
2015-10-13,6.9500,6.7600
2015-10-14,6.8400,6.9000
2015-10-15,7.1400,6.4000
2015-10-16,6.8350,6.0000
2015-10-19,6.2000,6.2100
2015-10-20,6.2100,6.4000
2015-10-21,6.2300,6.2300
2015-10-22,6.0000,6.0000
2015-10-23,5.9800,6.2000
2015-10-26,5.9800,6.2600
2015-10-27,6.4800,6.3300
2015-10-28,6.3500,5.7000
2015-10-29,5.9700,5.8700
2015-10-30,5.7200,5.6400
2015-11-02,5.6300,5.4500
2015-11-03,5.6400,5.2000
2015-11-04,5.2700,5.6500
2015-11-05,5.4900,5.0150
2015-11-06,5.2500,5.0900
2015-11-09,5.0800,5.2100
2015-11-10,5.0300,4.7300
2015-11-11,4.7200,4.7400
2015-11-12,4.8100,4.7100
2015-11-13,4.8500,4.8200
2015-11-16,4.9400,5.0000
2015-11-17,5.0000,5.0000
2015-11-18,4.8801,4.7600
2015-11-19,4.9400,4.6500
2015-11-20,4.5000,4.4400
2015-11-23,4.5200,4.3900
2015-11-24,4.3000,3.3979
2015-11-25,3.5899,3.3000
2015-11-27,3.9800,3.3000
2015-11-30,3.2800,3.2000
2015-12-01,3.2500,3.1568
2015-12-02,3.1300,3.0600
