date,open,close
2008-08-15,11.7000,12.1400
2008-08-18,12.2500,12.4800
2008-08-19,12.2800,12.3100
2008-08-20,12.4300,12.0000
2008-08-21,11.9900,11.8500
2008-08-22,12.0000,12.0600
2008-08-25,12.2400,11.9500
2008-08-26,12.3400,12.0100
2008-08-27,12.1900,12.2400
2008-08-28,12.4900,12.4500
2008-08-29,12.8100,12.5600
2008-09-02,12.9300,12.1100
2008-09-03,12.1100,11.8600
2008-09-04,12.3600,12.2900
2008-09-05,12.1900,12.0700
2008-09-08,12.3000,12.2400
2008-09-09,12.4800,11.3300
2008-09-10,11.3500,10.9800
2008-09-11,11.1300,12.0500
2008-09-12,12.4300,12.5000
2008-09-15,12.2200,12.2000
2008-09-16,11.8800,11.0500
2008-09-17,11.2800,9.9000
2008-09-18,9.9200,8.6200
2008-09-19,9.8900,9.7900
2008-09-22,9.9500,10.4300
2008-09-23,10.2200,10.6600
2008-09-24,10.8500,10.6400
2008-09-25,10.9800,11.1000
2008-09-26,10.8400,10.3500
2008-09-29,10.3500,10.3500
2008-09-30,9.9900,9.1400
2008-10-01,8.9100,8.9000
2008-10-02,8.4200,8.0500
2008-10-03,8.0500,7.7500
2008-10-06,7.0000,6.1100
2008-10-07,6.3100,5.4300
2008-10-08,5.2100,4.7600
2008-10-09,5.1400,4.9500
2008-10-10,4.7600,4.3900
2008-10-13,5.0000,5.0500
2008-10-14,5.9800,5.1500
2008-10-15,5.4500,5.7200
2008-10-16,5.7500,5.1100
2008-10-17,5.1900,4.5400
2008-10-20,4.5000,4.2100
2008-10-21,4.4700,4.3700
2008-10-22,4.3000,4.1600
2008-10-23,4.2400,3.9800
2008-10-24,3.5200,3.4300
2008-10-27,3.5000,3.4000
2008-10-28,3.5800,3.6300
2008-10-29,3.5100,4.1000
2008-10-30,4.2700,4.1400
2008-10-31,4.2100,4.4300
2008-11-03,4.7400,5.1100
2008-11-04,5.4000,6.1400
2008-11-05,6.1400,5.2100
2008-11-06,5.5000,4.8500
2008-11-07,5.3400,5.4000
2008-11-10,5.5000,4.6700
2008-11-11,4.5000,4.4100
2008-11-12,4.2900,4.1300
2008-11-13,4.3100,4.1500
2008-11-14,4.1000,4.1500
2008-11-17,4.0000,4.1000
2008-11-18,4.0700,4.0000
2008-11-19,3.9100,3.9700
2008-11-20,3.7600,3.5000
2008-11-21,3.6400,3.2200
2008-11-24,3.3000,3.7200
2008-11-25,3.8800,4.1600
2008-11-26,4.1500,4.1500
2008-11-28,4.0100,3.9600
2008-12-01,4.7200,4.0400
2008-12-02,4.1300,4.0100
2008-12-03,4.0600,4.0000
2008-12-04,4.0600,3.9700
2008-12-05,3.9500,3.9900
2008-12-08,4.0000,4.0000
2008-12-09,4.1400,3.8000
2008-12-10,3.9200,3.7100
2008-12-11,3.7200,3.7000
2008-12-12,3.6500,3.8000
2008-12-15,4.0400,3.9300
2008-12-16,3.8500,4.0100
2008-12-17,3.8501,3.8888
2008-12-18,4.0100,3.8700
2008-12-19,3.9300,4.1100
2008-12-22,3.9600,4.4400
2008-12-23,4.5900,4.2600
2008-12-24,4.2200,4.1800
2008-12-26,4.1900,4.3299
2008-12-29,4.3900,4.4100
2008-12-30,4.4600,4.8400
2008-12-31,4.8500,5.1000
2009-01-02,5.1000,5.4000
2009-01-05,5.4900,6.0000
2009-01-06,6.3400,6.3300
2009-01-07,6.3300,5.8900
2009-01-08,5.9600,6.0200
2009-01-09,6.0900,5.9400
2009-01-12,6.1100,5.6500
2009-01-13,5.7300,5.4600
2009-01-14,5.4700,5.2000
2009-01-15,5.1400,5.4700
2009-01-16,5.5900,5.6000
2009-01-20,5.5100,5.4100
2009-01-21,5.4000,5.5700
